metacell	cell_type	color	broad_cell_type
1	proerythroblast	#FF0DAE	marrow
2	proerythroblast	#FF0DAE	marrow
3	proerythroblast	#FF0DAE	marrow
4	erythroblast	#FE12B1	marrow
5	erythroblast	#FE12B1	marrow
6	granulocyte	#FD17B4	marrow
7	granulocyte	#FD17B4	marrow
8	granulocyte	#FD17B4	marrow
9	granulocyte	#FD17B4	marrow
10	granulocyte	#FD17B4	marrow
11	granulocyte	#FD17B4	marrow
12	granulocyte	#FD17B4	marrow
13	granulocyte	#FD17B4	marrow
14	granulocytopoietic_cell	#FC1CB7	marrow
15	granulocytopoietic_cell	#FC1CB7	marrow
16	granulocytopoietic_cell	#FC1CB7	marrow
17	granulocytopoietic_cell	#FC1CB7	marrow
18	granulocytopoietic_cell	#FC1CB7	marrow
19	monocyte	#FC21BA	marrow
20	monocyte	#FC21BA	marrow
21	monocyte	#FC21BA	marrow
22	monocyte	#FC21BA	marrow
23	monocyte	#FC21BA	marrow
24	monocyte	#FC21BA	marrow
25	monocyte	#FC21BA	marrow
26	monocyte	#FC21BA	marrow
27	hematopoietic_precursor_cell	#FB27BD	marrow
28	hematopoietic_precursor_cell	#FB27BD	marrow
29	hematopoietic_precursor_cell	#FB27BD	marrow
30	hematopoietic_precursor_cell	#FB27BD	marrow
31	hematopoietic_precursor_cell	#FB27BD	marrow
32	immature_B_cell	#FA2CC0	marrow
33	marrow_T_cell	#FA31C3	marrow
34	marrow_T_cell	#FA31C3	marrow
35	early_pro-B_cell	#F936C7	marrow
36	late_pro-B_cell	#F83BCA	marrow
37	late_pro-B_cell	#F83BCA	marrow
38	late_pro-B_cell	#F83BCA	marrow
39	late_pro-B_cell_or_immature_B_cell	#F741CD	marrow
40	Fraction_A_pre-pro_B_cell	#F746D0	marrow
41	marrow_macrophage	#F64BD3	marrow
42	marrow_macrophage	#F64BD3	marrow
43	promonocyte	#F550D6	marrow
44	promonocyte	#F550D6	marrow
45	promonocyte	#F550D6	marrow
46	promonocyte	#F550D6	marrow
47	basophil	#F556DA	marrow
48	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
49	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
50	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
51	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
52	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
53	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
54	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
55	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
56	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
57	Vascular_and_leptomeningeal_cells	#BF2BE0	vascular_cells
58	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
59	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
60	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
61	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
62	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
63	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
64	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
65	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
66	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
67	Vascular_smooth_muscle_cells	#B224D2	vascular_cells
68	Vascular_endothelial_cells	#A61EC5	vascular_cells
69	Vascular_endothelial_cells	#A61EC5	vascular_cells
70	Vascular_endothelial_cells	#A61EC5	vascular_cells
71	Vascular_endothelial_cells	#A61EC5	vascular_cells
72	Vascular_endothelial_cells	#A61EC5	vascular_cells
73	Vascular_endothelial_cells	#A61EC5	vascular_cells
74	Vascular_endothelial_cells	#A61EC5	vascular_cells
75	Vascular_endothelial_cells	#A61EC5	vascular_cells
76	Vascular_endothelial_cells	#A61EC5	vascular_cells
77	Vascular_endothelial_cells	#A61EC5	vascular_cells
78	Vascular_endothelial_cells	#A61EC5	vascular_cells
79	Vascular_endothelial_cells	#A61EC5	vascular_cells
80	Vascular_endothelial_cells	#A61EC5	vascular_cells
81	Vascular_endothelial_cells	#A61EC5	vascular_cells
82	Vascular_endothelial_cells	#A61EC5	vascular_cells
83	Vascular_endothelial_cells	#A61EC5	vascular_cells
84	Vascular_endothelial_cells	#A61EC5	vascular_cells
85	Vascular_endothelial_cells	#A61EC5	vascular_cells
86	Vascular_endothelial_cells	#A61EC5	vascular_cells
87	Pericytes	#9A18B8	vascular_cells
88	Pericytes	#9A18B8	vascular_cells
89	Pericytes	#9A18B8	vascular_cells
90	Pericytes	#9A18B8	vascular_cells
91	Pericytes	#9A18B8	vascular_cells
92	Pericytes	#9A18B8	vascular_cells
93	Pericytes	#9A18B8	vascular_cells
94	Pericytes	#9A18B8	vascular_cells
95	Pericytes	#9A18B8	vascular_cells
96	Pericytes	#9A18B8	vascular_cells
97	Pericytes	#9A18B8	vascular_cells
98	Pericytes	#9A18B8	vascular_cells
99	Pericytes	#9A18B8	vascular_cells
100	Pericytes	#9A18B8	vascular_cells
101	Pericytes	#9A18B8	vascular_cells
102	Pericytes	#9A18B8	vascular_cells
103	Pericytes	#9A18B8	vascular_cells
104	Pericytes	#9A18B8	vascular_cells
105	Pericytes	#9A18B8	vascular_cells
106	Pericytes	#9A18B8	vascular_cells
107	Pericytes	#9A18B8	vascular_cells
108	Pericytes	#9A18B8	vascular_cells
109	Pericytes	#9A18B8	vascular_cells
110	Pericytes	#9A18B8	vascular_cells
111	Choroid_epithelial_cells	#4227DB	glia
112	Choroid_epithelial_cells	#4227DB	glia
113	Choroid_epithelial_cells	#4227DB	glia
114	Oligodendrocytes	#452ADC	glia
115	Oligodendrocytes	#452ADC	glia
116	Oligodendrocytes	#452ADC	glia
117	Oligodendrocytes	#452ADC	glia
118	Oligodendrocytes	#452ADC	glia
119	Oligodendrocytes	#452ADC	glia
120	Oligodendrocytes	#452ADC	glia
121	Oligodendrocytes	#452ADC	glia
122	Oligodendrocytes	#452ADC	glia
123	Oligodendrocytes	#452ADC	glia
124	Oligodendrocytes	#452ADC	glia
125	Oligodendrocytes	#452ADC	glia
126	Oligodendrocytes	#452ADC	glia
127	Oligodendrocytes	#452ADC	glia
128	Oligodendrocytes	#452ADC	glia
129	Oligodendrocytes	#452ADC	glia
130	Oligodendrocytes	#452ADC	glia
131	Oligodendrocytes	#452ADC	glia
132	Oligodendrocytes	#452ADC	glia
133	Oligodendrocytes	#452ADC	glia
134	Oligodendrocytes	#452ADC	glia
135	Oligodendrocytes	#452ADC	glia
136	Oligodendrocytes	#452ADC	glia
137	Oligodendrocytes	#452ADC	glia
138	Oligodendrocytes	#452ADC	glia
139	Oligodendrocytes	#452ADC	glia
140	Oligodendrocytes	#452ADC	glia
141	Oligodendrocytes	#452ADC	glia
142	Oligodendrocytes	#452ADC	glia
143	Oligodendrocytes	#452ADC	glia
144	Oligodendrocytes	#452ADC	glia
145	Oligodendrocytes	#452ADC	glia
146	Oligodendrocytes	#452ADC	glia
147	Oligodendrocytes	#452ADC	glia
148	Oligodendrocytes	#452ADC	glia
149	Oligodendrocytes	#452ADC	glia
150	Oligodendrocytes	#452ADC	glia
151	Oligodendrocytes	#452ADC	glia
152	Oligodendrocytes	#452ADC	glia
153	Oligodendrocytes	#452ADC	glia
154	Oligodendrocytes	#452ADC	glia
155	Oligodendrocytes	#452ADC	glia
156	Oligodendrocytes	#452ADC	glia
157	Oligodendrocytes	#452ADC	glia
158	Oligodendrocytes	#452ADC	glia
159	Oligodendrocytes	#452ADC	glia
160	Oligodendrocytes	#452ADC	glia
161	Oligodendrocytes	#452ADC	glia
162	Oligodendrocytes	#452ADC	glia
163	Oligodendrocytes	#452ADC	glia
164	Oligodendrocytes	#452ADC	glia
165	Oligodendrocytes	#452ADC	glia
166	Oligodendrocytes	#452ADC	glia
167	Oligodendrocytes	#452ADC	glia
168	Oligodendrocytes	#452ADC	glia
169	Oligodendrocytes	#452ADC	glia
170	Oligodendrocytes	#452ADC	glia
171	Oligodendrocytes	#452ADC	glia
172	Oligodendrocytes	#452ADC	glia
173	Oligodendrocytes	#452ADC	glia
174	Oligodendrocytes	#452ADC	glia
175	Oligodendrocytes	#452ADC	glia
176	Oligodendrocytes	#452ADC	glia
177	Oligodendrocytes	#452ADC	glia
178	Oligodendrocytes	#452ADC	glia
179	Oligodendrocytes	#452ADC	glia
180	Oligodendrocytes	#452ADC	glia
181	Oligodendrocytes	#452ADC	glia
182	Oligodendrocytes	#452ADC	glia
183	Oligodendrocytes	#452ADC	glia
184	Oligodendrocytes	#452ADC	glia
185	Oligodendrocytes	#452ADC	glia
186	Oligodendrocytes	#452ADC	glia
187	Oligodendrocytes	#452ADC	glia
188	Oligodendrocytes	#452ADC	glia
189	Oligodendrocytes	#452ADC	glia
190	Oligodendrocytes	#452ADC	glia
191	Oligodendrocytes	#452ADC	glia
192	Oligodendrocytes	#452ADC	glia
193	Oligodendrocytes	#452ADC	glia
194	Oligodendrocytes	#452ADC	glia
195	Oligodendrocytes	#452ADC	glia
196	Oligodendrocytes	#452ADC	glia
197	Oligodendrocytes	#452ADC	glia
198	Oligodendrocytes	#452ADC	glia
199	Oligodendrocytes	#452ADC	glia
200	Oligodendrocytes	#452ADC	glia
201	Oligodendrocytes	#452ADC	glia
202	Oligodendrocytes	#452ADC	glia
203	Oligodendrocytes	#452ADC	glia
204	Oligodendrocytes	#452ADC	glia
205	Oligodendrocytes	#452ADC	glia
206	Oligodendrocytes	#452ADC	glia
207	Oligodendrocytes	#452ADC	glia
208	Oligodendrocytes	#452ADC	glia
209	Oligodendrocytes	#452ADC	glia
210	Oligodendrocytes	#452ADC	glia
211	Oligodendrocytes	#452ADC	glia
212	Oligodendrocytes	#452ADC	glia
213	Oligodendrocytes	#452ADC	glia
214	Oligodendrocytes	#452ADC	glia
215	Oligodendrocytes	#452ADC	glia
216	Oligodendrocytes	#452ADC	glia
217	Oligodendrocytes	#452ADC	glia
218	Oligodendrocytes	#452ADC	glia
219	Oligodendrocytes	#452ADC	glia
220	Oligodendrocytes	#452ADC	glia
221	Oligodendrocytes	#452ADC	glia
222	Oligodendrocytes	#452ADC	glia
223	Oligodendrocytes	#452ADC	glia
224	Oligodendrocytes	#452ADC	glia
225	Oligodendrocytes	#452ADC	glia
226	Oligodendrocytes	#452ADC	glia
227	Oligodendrocytes	#452ADC	glia
228	Oligodendrocytes	#452ADC	glia
229	Oligodendrocytes	#452ADC	glia
230	Oligodendrocytes	#452ADC	glia
231	Oligodendrocytes	#452ADC	glia
232	Oligodendrocytes	#452ADC	glia
233	Oligodendrocytes	#452ADC	glia
234	Oligodendrocytes	#452ADC	glia
235	Oligodendrocytes	#452ADC	glia
236	Oligodendrocytes	#452ADC	glia
237	Oligodendrocytes	#452ADC	glia
238	Oligodendrocytes	#452ADC	glia
239	Oligodendrocytes	#452ADC	glia
240	Oligodendrocytes	#452ADC	glia
241	Oligodendrocytes	#452ADC	glia
242	Oligodendrocytes	#452ADC	glia
243	Oligodendrocytes	#452ADC	glia
244	Oligodendrocytes	#452ADC	glia
245	Oligodendrocytes	#452ADC	glia
246	Oligodendrocytes	#452ADC	glia
247	Oligodendrocytes	#452ADC	glia
248	Oligodendrocytes	#452ADC	glia
249	Oligodendrocytes	#452ADC	glia
250	Oligodendrocytes	#452ADC	glia
251	Oligodendrocytes	#452ADC	glia
252	Oligodendrocytes	#452ADC	glia
253	Oligodendrocytes	#452ADC	glia
254	Oligodendrocytes	#452ADC	glia
255	Oligodendrocytes	#452ADC	glia
256	Oligodendrocytes	#452ADC	glia
257	Oligodendrocytes	#452ADC	glia
258	Oligodendrocytes	#452ADC	glia
259	Oligodendrocytes	#452ADC	glia
260	Oligodendrocytes	#452ADC	glia
261	Oligodendrocytes	#452ADC	glia
262	Oligodendrocytes	#452ADC	glia
263	Oligodendrocytes	#452ADC	glia
264	Satellite_glia	#482DDD	glia
265	Satellite_glia	#482DDD	glia
266	Satellite_glia	#482DDD	glia
267	Satellite_glia	#482DDD	glia
268	Schwann_cells	#4B31DF	glia
269	Olfactory_ensheathing_cells	#4E34E0	glia
270	Olfactory_ensheathing_cells	#4E34E0	glia
271	Olfactory_ensheathing_cells	#4E34E0	glia
272	Olfactory_ensheathing_cells	#4E34E0	glia
273	Olfactory_ensheathing_cells	#4E34E0	glia
274	Olfactory_ensheathing_cells	#4E34E0	glia
275	Olfactory_ensheathing_cells	#4E34E0	glia
276	Olfactory_ensheathing_cells	#4E34E0	glia
277	Olfactory_ensheathing_cells	#4E34E0	glia
278	Olfactory_ensheathing_cells	#4E34E0	glia
279	Olfactory_ensheathing_cells	#4E34E0	glia
280	Olfactory_ensheathing_cells	#4E34E0	glia
281	Olfactory_ensheathing_cells	#4E34E0	glia
282	Olfactory_ensheathing_cells	#4E34E0	glia
283	Olfactory_ensheathing_cells	#4E34E0	glia
284	Astrocytes	#5138E2	glia
285	Astrocytes	#5138E2	glia
286	Astrocytes	#5138E2	glia
