metacell	cell_type	color	broad_cell_type
1	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
2	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
3	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
4	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
5	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
6	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
7	cnidocyte_ecEp_nb_pd	lightblue2	cnidocyte
8	cnidocyte_ecEp_head_hypostome	lightblue2	cnidocyte
9	cnidocyte_ecEp_head_hypostome	lightblue2	cnidocyte
10	cnidocyte_ecEp_head_hypostome	lightblue2	cnidocyte
11	cnidocyte_ecEp_head_hypostome	lightblue2	cnidocyte
12	cnidocyte_ecEp_head_hypostome	lightblue2	cnidocyte
13	cnidocyte_i_nb4	lightblue2	cnidocyte
14	cnidocyte_i_nb4	lightblue2	cnidocyte
15	cnidocyte_i_nb4	lightblue2	cnidocyte
16	cnidocyte_i_nb4	lightblue2	cnidocyte
17	cnidocyte_i_nb4	lightblue2	cnidocyte
18	cnidocyte_i_nb5	lightblue2	cnidocyte
19	cnidocyte_i_nb5	lightblue2	cnidocyte
20	cnidocyte_i_nb1	lightblue2	cnidocyte
21	cnidocyte_i_nb1	lightblue2	cnidocyte
22	cnidocyte_i_nb1	lightblue2	cnidocyte
23	cnidocyte_i_nb1	lightblue2	cnidocyte
24	cnidocyte_i_nb1	lightblue2	cnidocyte
25	cnidocyte_i_nb1	lightblue2	cnidocyte
26	cnidocyte_i_nb1	lightblue2	cnidocyte
27	cnidocyte_i_nb1	lightblue2	cnidocyte
28	cnidocyte_i_nb2	lightblue2	cnidocyte
29	cnidocyte_i_nb2	lightblue2	cnidocyte
30	cnidocyte_i_nb2	lightblue2	cnidocyte
31	cnidocyte_i_nb2	lightblue2	cnidocyte
32	cnidocyte_i_nb2	lightblue2	cnidocyte
33	cnidocyte_i_nb3	lightblue2	cnidocyte
34	cnidocyte_i_nb3	lightblue2	cnidocyte
35	cnidocyte_i_nb3	lightblue2	cnidocyte
36	cnidocyte_i_nb3	lightblue2	cnidocyte
37	cnidocyte_i_nb3	lightblue2	cnidocyte
38	cnidocyte_i_nb3	lightblue2	cnidocyte
39	cnidocyte_i_nb3	lightblue2	cnidocyte
40	gastrodermis_enEp_foot	chartreuse3	gastrodermis
41	gastrodermis_enEp_foot	chartreuse3	gastrodermis
42	gastrodermis_enEp_foot	chartreuse3	gastrodermis
43	gastrodermis_enEp_foot	chartreuse3	gastrodermis
44	gastrodermis_enEp_foot	chartreuse3	gastrodermis
45	gastrodermis_enEp_head	chartreuse3	gastrodermis
46	gastrodermis_enEp_head	chartreuse3	gastrodermis
47	gastrodermis_enEp_head	chartreuse3	gastrodermis
48	gastrodermis_enEp_head	chartreuse3	gastrodermis
49	gastrodermis_enEp_head	chartreuse3	gastrodermis
