metacell	cell_type	color	broad_cell_type
1	cnidocyte	lightblue2	cnidocyte
2	gastrodermis_musclelike	chartreuse3	gastrodermis
3	gastrodermis	chartreuse3	gastrodermis
4	gastrodermis	chartreuse3	gastrodermis
5	gastrodermis	chartreuse3	gastrodermis
6	gastrodermis	chartreuse3	gastrodermis
7	gastrodermis	chartreuse3	gastrodermis
8	gastrodermis	chartreuse3	gastrodermis
9	gastrodermis	chartreuse3	gastrodermis
10	gastrodermis	chartreuse3	gastrodermis
11	gastrodermis	chartreuse3	gastrodermis
12	gastrodermis	chartreuse3	gastrodermis
13	gastrodermis	chartreuse3	gastrodermis
14	gastrodermis	chartreuse3	gastrodermis
15	gastrodermis	chartreuse3	gastrodermis
16	gastrodermis	chartreuse3	gastrodermis
17	gastrodermis	chartreuse3	gastrodermis
18	gastrodermis	chartreuse3	gastrodermis
19	gastrodermis	chartreuse3	gastrodermis
20	gastrodermis	chartreuse3	gastrodermis
21	gastrodermis	chartreuse3	gastrodermis
22	gastrodermis	chartreuse3	gastrodermis
23	gastrodermis	chartreuse3	gastrodermis
24	gastrodermis	chartreuse3	gastrodermis
25	gastrodermis	chartreuse3	gastrodermis
26	gastrodermis	chartreuse3	gastrodermis
27	gastrodermis	chartreuse3	gastrodermis
28	gastrodermis	chartreuse3	gastrodermis
29	gastrodermis	chartreuse3	gastrodermis
30	gastrodermis	chartreuse3	gastrodermis
31	gastrodermis	chartreuse3	gastrodermis
32	gastrodermis	chartreuse3	gastrodermis
33	gastrodermis	chartreuse3	gastrodermis
34	gastrodermis	chartreuse3	gastrodermis
35	gastrodermis	chartreuse3	gastrodermis
36	gastrodermis	chartreuse3	gastrodermis
37	gastrodermis	chartreuse3	gastrodermis
38	gastrodermis	chartreuse3	gastrodermis
39	gastrodermis	chartreuse3	gastrodermis
40	gastrodermis	chartreuse3	gastrodermis
41	gastrodermis	chartreuse3	gastrodermis
42	gastrodermis	chartreuse3	gastrodermis
43	gastrodermis	chartreuse3	gastrodermis
44	gastrodermis	chartreuse3	gastrodermis
45	gastrodermis	chartreuse3	gastrodermis
46	gastrodermis	chartreuse3	gastrodermis
47	gastrodermis	chartreuse3	gastrodermis
48	gastrodermis	chartreuse3	gastrodermis
49	gastrodermis	chartreuse3	gastrodermis
50	gastrodermis	chartreuse3	gastrodermis
51	gastrodermis	chartreuse3	gastrodermis
52	gastrodermis	chartreuse3	gastrodermis
53	gastrodermis	chartreuse3	gastrodermis
54	gastrodermis	chartreuse3	gastrodermis
55	gastrodermis	chartreuse3	gastrodermis
56	gastrodermis	chartreuse3	gastrodermis
57	gastrodermis	chartreuse3	gastrodermis
58	gastrodermis	chartreuse3	gastrodermis
59	gastrodermis	chartreuse3	gastrodermis
60	gastrodermis	chartreuse3	gastrodermis
61	gastrodermis	chartreuse3	gastrodermis
62	gastrodermis	chartreuse3	gastrodermis
63	gastrodermis	chartreuse3	gastrodermis
64	gastrodermis	chartreuse3	gastrodermis
65	gastrodermis	chartreuse3	gastrodermis
66	gastrodermis	chartreuse3	gastrodermis
67	gastrodermis	chartreuse3	gastrodermis
68	gastrodermis	chartreuse3	gastrodermis
69	gastrodermis	chartreuse3	gastrodermis
70	gastrodermis	chartreuse3	gastrodermis
71	gastrodermis	chartreuse3	gastrodermis
72	gastrodermis	chartreuse3	gastrodermis
73	alga-hosting_cells	chartreuse4	alga-hosting_cells
74	alga-hosting_cells	chartreuse4	alga-hosting_cells
75	alga-hosting_cells	chartreuse4	alga-hosting_cells
76	alga-hosting_cells	chartreuse4	alga-hosting_cells
77	alga-hosting_cells	chartreuse4	alga-hosting_cells
78	alga-hosting_cells	chartreuse4	alga-hosting_cells
79	alga-hosting_cells	chartreuse4	alga-hosting_cells
80	alga-hosting_cells	chartreuse4	alga-hosting_cells
81	alga-hosting_cells	chartreuse4	alga-hosting_cells
82	alga-hosting_cells	chartreuse4	alga-hosting_cells
83	alga-hosting_cells	chartreuse4	alga-hosting_cells
84	alga-hosting_cells	chartreuse4	alga-hosting_cells
85	alga-hosting_cells	chartreuse4	alga-hosting_cells
86	alga-hosting_cells	chartreuse4	alga-hosting_cells
87	mitotic_host_cells	azure3	mitotic_host_cells
88	mitotic_host_cells	azure3	mitotic_host_cells
89	mitotic_host_cells	azure3	mitotic_host_cells
90	mitotic_host_cells	azure3	mitotic_host_cells
91	mitotic_host_cells	azure3	mitotic_host_cells
92	mitotic_host_cells	azure3	mitotic_host_cells
93	mitotic_host_cells	azure3	mitotic_host_cells
94	mitotic_host_cells	azure3	mitotic_host_cells
95	mitotic_host_cells	azure3	mitotic_host_cells
96	mitotic_host_cells	azure3	mitotic_host_cells
97	mitotic_host_cells	azure3	mitotic_host_cells
98	mitotic_host_cells	azure3	mitotic_host_cells
99	mitotic_host_cells	azure3	mitotic_host_cells
100	germline_sperm	gray	germline
101	digestive_filaments	plum4	digestive
102	digestive_filaments	plum4	digestive
103	digestive_filaments	plum4	digestive
104	digestive_filaments	plum4	digestive
105	digestive_filaments	plum4	digestive
106	digestive_filaments	plum4	digestive
107	digestive_filaments	plum4	digestive
108	digestive_filaments	plum4	digestive
109	digestive_filaments	plum4	digestive
110	digestive_filaments	plum4	digestive
111	digestive_filaments	plum4	digestive
112	digestive_filaments	plum4	digestive
113	epidermis_1	orchid1	epidermis
114	epidermis_1	orchid1	epidermis
115	epidermis_1	orchid1	epidermis
116	epidermis_1	orchid1	epidermis
117	epidermis_1	orchid1	epidermis
118	epidermis_1	orchid1	epidermis
119	epidermis_1	orchid1	epidermis
120	epidermis_1	orchid1	epidermis
121	epidermis_1	orchid1	epidermis
