metacell	cell_type	color	broad_cell_type
1	Archaeocytes	#FFD700	archaeocyte
2	Archaeocytes	#FFD700	archaeocyte
3	Archaeocytes	#FFD700	archaeocyte
4	Archaeocytes	#FFD700	archaeocyte
5	Archaeocytes	#FFD700	archaeocyte
6	Archaeocytes	#FFD700	archaeocyte
7	Archaeocytes	#FFD700	archaeocyte
8	Archaeocytes	#FFD700	archaeocyte
9	Archaeocytes	#FFD700	archaeocyte
10	Archaeocytes	#FFD700	archaeocyte
11	Archaeocytes	#FFD700	archaeocyte
12	Archaeocytes	#FFD700	archaeocyte
13	Archaeocytes	#FFD700	archaeocyte
14	Archaeocytes	#FFD700	archaeocyte
15	Archaeocytes	#FFD700	archaeocyte
16	Archaeocytes	#FFD700	archaeocyte
17	Archaeocytes	#FFD700	archaeocyte
18	Archaeocytes	#FFD700	archaeocyte
19	Archaeocytes	#FFD700	archaeocyte
20	Archaeocytes	#FFD700	archaeocyte
21	Archaeocytes	#FFD700	archaeocyte
22	Archaeocytes	#FFD700	archaeocyte
23	Archaeocytes	#FFD700	archaeocyte
24	Archaeocytes	#FFD700	archaeocyte
25	Archaeocytes	#FFD700	archaeocyte
26	Archaeocytes	#FFD700	archaeocyte
27	Archaeocytes	#FFD700	archaeocyte
28	Archaeocytes	#FFD700	archaeocyte
29	Archaeocytes	#FFD700	archaeocyte
30	Archaeocytes	#FFD700	archaeocyte
31	Archaeocytes	#FFD700	archaeocyte
32	Archaeocytes	#FFD700	archaeocyte
33	Precursors_2	#FFEC8B	precursor
34	Precursors_2	#FFEC8B	precursor
35	Precursors_2	#FFEC8B	precursor
36	Precursors_2	#FFEC8B	precursor
37	Precursors_2	#FFEC8B	precursor
38	Precursors_2	#FFEC8B	precursor
39	Precursors_2	#FFEC8B	precursor
40	Precursors_12	#F0E68C	precursor
41	Precursors_12	#F0E68C	precursor
42	Precursors_12	#F0E68C	precursor
43	Precursors_12	#F0E68C	precursor
44	Precursors_choanocytes_6	#FF7F50	precursor
45	Precursors_choanocytes_6	#FF7F50	precursor
46	Precursors_choanocytes_6	#FF7F50	precursor
47	Precursors_choanocytes_6	#FF7F50	precursor
48	Precursors_choanocytes_6	#FF7F50	precursor
49	Precursors_choanocytes_6	#FF7F50	precursor
50	Precursors_choanocytes_6	#FF7F50	precursor
51	Precursors_choanocytes_6	#FF7F50	precursor
52	Precursors_42	#FFA54F	precursor
53	Precursors_42	#FFA54F	precursor
54	Precursors_42	#FFA54F	precursor
55	Choanoblasts2	#CD3700	choanoblast
56	Choanoblasts2	#CD3700	choanoblast
57	Choanoblasts2	#CD3700	choanoblast
58	Choanocytes	#FF4500	choanocyte
59	Apopylar Cells	#EE0000	apopylar_cell
60	Apopylar Cells	#EE0000	apopylar_cell
61	Precursors_choanocytes_7	#FFA07A	precursor
62	Precursors_choanocytes_7	#FFA07A	precursor
63	Precursors_choanocytes_7	#FFA07A	precursor
64	Precursors_choanocytes_7	#FFA07A	precursor
