term	pval	ontology	fg	oe	symbol	size
Lig_chan	1e-12	Pfam	8	14596	17	2.04064545051134
Lig_chan-Glu_bd	1e-12	Pfam	8	14596	17	2.04064545051134
GO:0098978 | glutamatergic synapse	1.2e-12	CC	23	5.86734693877551	20	0.876608104569616
GO:0099507 | ligand-gated ion channel activity involv...	1.1e-09	MF	7	31.8181818181818	20	1.22583659563257
GO:0048787 | presynaptic active zone membrane	1.9e-09	CC	9	16.9811320754717	20	1.10903861061666
Bravo_FIGEY	1.92410137513161e-09	Pfam	4	32841	20	2.12518619720813
GO:0043195 | terminal bouton	8e-09	CC	8	18.6046511627907	20	1.12677483616398
Cation_ATPase_C	3.58278906613559e-08	Pfam	5	10947	20	2.0097997706449
GO:0008076 | voltage-gated potassium channel complex	4.2e-08	CC	8	15.0943396226415	20	1.08573206519433
GO:0008091 | spectrin	8.2e-08	CC	4	80	20	1.37952527595254
Cation_ATPase_N	1.0056811851833e-07	Pfam	5	9122.5	20	1.9900034854333
GO:0005952 | cAMP-dependent protein kinase complex	1.9e-07	CC	4	66.6666666666667	20	1.35052165511861
GO:0030506 | ankyrin binding	3.2e-07	MF	5	31.25	20	1.22264059382964
GO:0032983 | kainate selective glutamate receptor com...	3.8e-07	CC	4	57.1428571428571	20	1.3255044139171
GO:0030315 | T-tubule	3.8e-07	CC	7	14.5833333333333	20	1.0788219513148
GO:0098839 | postsynaptic density membrane	5.5e-07	CC	8	10.958904109589	20	1.01968972088155
GO:0031997 | N-terminal myristoylation domain binding	6.1e-07	MF	3	100	20	1.4142135623731
GO:0035403 | histone kinase activity (H3-T6 specific)	6.1e-07	MF	3	100	20	1.4142135623731
GO:0031800 | type 3 metabotropic glutamate receptor b...	6.1e-07	MF	3	100	20	1.4142135623731
GO:0031432 | titin binding	6.1e-07	MF	3	100	20	1.4142135623731
Ion_trans	6.36545297539331e-07	Pfam	8	2455.40186915888	20	1.84122855238308
Cation_ATPase	7.39256458157286e-07	Pfam	5	6315.57692307692	20	1.94946480582984
ATP_Ca_trans_C	1.16429512099631e-06	Pfam	3	24630.75	20	2.09558527294779
Reticulon	1.16429512099631e-06	Pfam	3	24630.75	20	2.09558527294779
GO:0002026 | regulation of the force of heart contrac...	1.9e-06	BP	5	22.7272727272727	20	1.16470911540771
GO:0004971 | AMPA glutamate receptor activity	2.4e-06	MF	3	100	20	1.4142135623731
E1-E2_ATPase	2.56780397903047e-06	Pfam	5	4975.90909090909	20	1.92272526307377
GO:0014802 | terminal cisterna	2.6e-06	CC	3	75	20	1.36932876380791
Na_trans_cytopl	5.76420527207548e-06	Pfam	3	16420.5	20	2.05314061309497
GO:0032809 | neuronal cell body membrane	6.5e-06	CC	5	18.5185185185185	20	1.12588020685019
GO:0014704 | intercalated disc	6.5e-06	CC	5	18.5185185185185	20	1.12588020685019
GO:0100001 | regulation of skeletal muscle contractio...	6.8e-06	BP	3	75	20	1.36932876380791
GO:0051343 | positive regulation of cyclic-nucleotide...	6.8e-06	BP	3	75	20	1.36932876380791
GO:1904315 | transmitter-gated ion channel activity i...	6.8e-06	MF	6	12.7659574468085	20	1.05169073041837
GO:0051968 | positive regulation of synaptic transmis...	7.1e-06	BP	5	17.8571428571429	20	1.11884403425759
GO:0030673 | axolemma	9.3e-06	CC	4	28.5714285714286	20	1.20662005438735
GO:0098686 | hippocampal mossy fiber to CA3 synapse	1e-05	CC	5	16.6666666666667	20	1.10537267453848
Ig_3	1.1306312091378e-05	Pfam	7	2034.3982300885	20	1.8189106545773
GO:0004972 | NMDA glutamate receptor activity	1.2e-05	MF	3	60	20	1.33347337820582
GO:0010856 | adenylate cyclase activator activity	1.2e-05	MF	3	60	20	1.33347337820582
GO:0051481 | negative regulation of cytosolic calcium...	1.3e-05	BP	4	26.6666666666667	20	1.19413932699341
GO:0032516 | positive regulation of phosphoprotein ph...	1.4e-05	BP	3	60	20	1.33347337820582
GO:0060316 | positive regulation of ryanodine-sensiti...	1.4e-05	BP	3	60	20	1.33347337820582
GO:0010880 | regulation of release of sequestered cal...	1.6e-05	BP	4	25	20	1.18234513094614
ANF_receptor	1.75643926193627e-05	Pfam	8	1573.22155688623	20	1.78795690346505
GO:0005516 | calmodulin binding	2e-05	MF	8	6.77966101694915	20	0.911706081851941
GO:1990034 | calcium ion export across plasma membran...	2.2e-05	BP	4	57.1428571428571	20	1.3255044139171
GO:0017146 | NMDA selective glutamate receptor comple...	2.2e-05	CC	3	50	20	1.30344543588752
GO:0036376 | sodium ion export across plasma membrane	2.4e-05	BP	3	50	20	1.30344543588752
EF-hand_7	2.47515380191169e-05	Pfam	6	2291.23255813953	20	1.83304914607985
GO:0030424 | axon	2.6e-05	CC	27	6.92307692307692	20	0.916678328058697
GO:0043197 | dendritic spine	2.8e-05	CC	10	7.5187969924812	20	0.936027969150983
GO:0030017 | sarcomere	3.1e-05	CC	11	9.48275862068966	20	0.988400068763305
Na_trans_assoc	3.39087156579814e-05	Pfam	3	9852.3	20	1.99838375381798
fn3	3.7545598309524e-05	Pfam	7	1690.34558823529	20	1.79665675754942
CDK5_activator	4.42671015824557e-05	Pfam	2	32841	20	2.12518619720813
GO:0055117 | regulation of cardiac muscle contraction	4.6e-05	BP	7	14	20	1.07057369465079
GO:0030672 | synaptic vesicle membrane	4.6e-05	CC	8	10.2564102564103	20	1.00548266235747
GO:0042165 | neurotransmitter binding	5e-05	MF	3	37.5	20	1.2546040282606
GO:0034765 | regulation of ion transmembrane transpor...	5.4e-05	BP	21	7.5812274368231	20	0.937944308405073
GO:0045822 | negative regulation of heart contraction	5.5e-05	BP	4	18.1818181818182	20	1.12233564966357
GO:0043025 | neuronal cell body	5.5e-05	CC	17	4.6195652173913	20	0.815230705202372
GO:0015871 | choline transport	5.6e-05	BP	3	37.5	20	1.2546040282606
GO:0005513 | detection of calcium ion	5.6e-05	BP	3	37.5	20	1.2546040282606
GO:0005251 | delayed rectifier potassium channel acti...	5.6e-05	MF	4	18.1818181818182	20	1.12233564966357
I-set	5.64572864656402e-05	Pfam	7	1585.4275862069	20	1.78889530453385
GO:2000300 | regulation of synaptic vesicle exocytosi...	5.7e-05	BP	5	11.9047619047619	20	1.03716956855575
GO:0043209 | myelin sheath	6.2e-05	CC	7	6.93069306930693	20	0.916938747262659
GO:0071322 | cellular response to carbohydrate stimul...	6.7e-05	BP	7	9.85915492957747	20	0.996915087304421
GO:0030235 | nitric-oxide synthase regulator activity	7e-05	MF	3	33.3333333333333	20	1.2340497337143
GO:0086080 | protein binding involved in heterotypic ...	7.3e-05	MF	2	100	20	1.4142135623731
GO:0004691 | cAMP-dependent protein kinase activity	7.3e-05	MF	2	100	20	1.4142135623731
GO:0099523 | presynaptic cytosol	7.5e-05	CC	3	33.3333333333333	20	1.2340497337143
GO:1901621 | negative regulation of smoothened signal...	7.9e-05	BP	2	100	20	1.4142135623731
GO:2000707 | positive regulation of dense core granul...	7.9e-05	BP	2	100	20	1.4142135623731
GO:0045162 | clustering of voltage-gated sodium chann...	7.9e-05	BP	2	100	20	1.4142135623731
GO:0044325 | transmembrane transporter binding	8.3e-05	MF	6	8.21917808219178	20	0.956466617432719
GO:0008179 | adenylate cyclase binding	9.6e-05	MF	3	33.3333333333333	20	1.2340497337143
GO:0030018 | Z disc	1e-04	CC	6	7.89473684210526	20	0.94727908142366
GO:0001518 | voltage-gated sodium channel complex	1e-04	CC	3	30	20	1.21536877313829
GO:0034392 | negative regulation of smooth muscle cel...	0.00011	BP	3	30	20	1.21536877313829
GO:0070593 | dendrite self-avoidance	0.00011	BP	3	30	20	1.21536877313829
GO:0050998 | nitric-oxide synthase binding	0.00013	MF	3	30	20	1.21536877313829
GO:0043548 | phosphatidylinositol 3-kinase binding	0.00013	MF	4	14.8148148148148	20	1.08198716589846
NMDAR2_C	0.000132216271034806	Pfam	2	21894	20	2.08334469393528
Synapsin	0.000132216271034806	Pfam	2	21894	20	2.08334469393528
Synapsin_C	0.000132216271034806	Pfam	2	21894	20	2.08334469393528
Synapsin_N	0.000132216271034806	Pfam	2	21894	20	2.08334469393528
GO:0035235 | ionotropic glutamate receptor signaling ...	0.00014	BP	3	27.2727272727273	20	1.1982189155415
GO:0098685 | Schaffer collateral - CA1 synapse	0.00018	CC	6	7.14285714285714	20	0.924051927286428
C2	0.000182366236430477	Pfam	6	1602	20	1.79015711929099
GO:1902430 | negative regulation of amyloid-beta form...	0.00019	BP	3	25	20	1.18234513094614
GO:0051693 | actin filament capping	2e-04	BP	4	13.3333333333333	20	1.06063129154683
GO:0045121 | membrane raft	0.00021	CC	11	5.3921568627451	20	0.855431188192438
GO:0098794 | postsynapse	0.00022	CC	28	5.79710144927536	20	0.873619425488414
GO:1990917 | ooplasm	0.00023	CC	2	66.6666666666667	20	1.35052165511861
GO:0005955 | calcineurin complex	0.00023	CC	2	66.6666666666667	20	1.35052165511861
GO:0010360 | negative regulation of anion channel act...	0.00024	BP	2	66.6666666666667	20	1.35052165511861
GO:1905949 | negative regulation of calcium ion impor...	0.00024	BP	2	66.6666666666667	20	1.35052165511861
GO:0036289 | peptidyl-serine autophosphorylation	0.00024	BP	2	66.6666666666667	20	1.35052165511861
GO:0050930 | induction of positive chemotaxis	0.00024	BP	2	66.6666666666667	20	1.35052165511861
GO:0005886 | plasma membrane	0.00024	CC	56	2.25624496373892	20	0.594462992829234
GO:0004698 | calcium-dependent protein kinase C activ...	0.00026	MF	3	23.0769230769231	20	1.16755209837199
Hydrolase	0.000261932443495296	Pfam	3	5185.42105263158	20	1.92737749975733
4_1_CTD	0.000263268246948616	Pfam	2	16420.5	20	2.05314061309497
SAB	0.000263268246948616	Pfam	2	16420.5	20	2.05314061309497
GO:0002027 | regulation of heart rate	0.00027	BP	5	8.62068965517241	20	0.967234206784004
GO:0006883 | cellular sodium ion homeostasis	0.00029	BP	3	23.0769230769231	20	1.16755209837199
GO:0072542 | protein phosphatase activator activity	0.00032	MF	3	21.4285714285714	20	1.15368679416964
GO:0086010 | membrane depolarization during action po...	0.00036	BP	3	21.4285714285714	20	1.15368679416964
GO:0048306 | calcium-dependent protein binding	0.00042	MF	5	7.8125	20	0.944875669256083
