term	pval	ontology	fg	oe	symbol	size
bZIP_1	1.93670256849196e-05	Pfam	3	5614.125	20	1.93630629759067
DUF4735	5.61776778124958e-05	Pfam	3	4083	20	1.90025771408064
GO:0000981 | DNA-binding transcription factor activit...	6.7e-05	MF	7	6.79611650485437	20	0.912283297725594
GO:0033132 | negative regulation of glucokinase activ...	0.00022	BP	2	100	20	1.4142135623731
GO:0033138 | positive regulation of peptidyl-serine p...	3e-04	BP	3	23.0769230769231	20	1.16755209837199
bZIP_Maf	0.000300813998522645	Pfam	2	7485.5	20	1.96830404528812
Cytochrom_B561	0.000300813998522645	Pfam	2	7485.5	20	1.96830404528812
GO:0032426 | stereocilium tip	0.00034	CC	2	66.6666666666667	20	1.35052165511861
GO:0000978 | RNA polymerase II cis-regulatory region ...	0.00091	MF	6	5.21739130434783	20	0.847026215668696
GO:0060091 | kinocilium	0.00121	CC	2	40	20	1.26572508520925
GO:2000515 | negative regulation of CD4-positive, alp...	0.00127	BP	2	40	20	1.26572508520925
GO:0050910 | detection of mechanical stimulus involve...	0.00127	BP	2	40	20	1.26572508520925
GO:0060088 | auditory receptor cell stereocilium orga...	0.00158	BP	2	33.3333333333333	20	1.2340497337143
GO:0001709 | cell fate determination	0.00158	BP	2	33.3333333333333	20	1.2340497337143
zf-C2H2	0.0016569635976092	Pfam	3	1361	20	1.77027063614673
GO:0000122 | negative regulation of transcription by ...	0.00208	BP	7	3.82513661202186	20	0.763313140384618
GO:0008038 | neuron recognition	0.00231	BP	2	28.5714285714286	20	1.20662005438735
GO:0045582 | positive regulation of T cell differenti...	0.00251	BP	3	11.1111111111111	20	1.02262284864004
GO:0051224 | negative regulation of protein transport	0.0031	BP	4	6.55737704918033	20	0.903731241197954
GO:0090278 | negative regulation of peptide hormone s...	0.0036	BP	3	9.67741935483871	20	0.992854249568077
C2	0.00431059003398741	Pfam	3	976.369565217391	20	1.72905009568828
CRAL_TRIO	0.00435414682178262	Pfam	2	2138.71428571429	20	1.8248706174267
GO:0042711 | maternal behavior	0.00466	BP	2	20	20	1.14062701864544
GO:0099010 | modification of postsynaptic structure	0.00522	BP	2	18.1818181818182	20	1.12233564966357
GO:0035976 | transcription factor AP-1 complex	0.00593	CC	1	100	20	1.4142135623731
GO:0021902 | commitment of neuronal cell to specific ...	0.00609	BP	1	100	20	1.4142135623731
GO:0039003 | pronephric field specification	0.00609	BP	1	100	20	1.4142135623731
GO:1902310 | positive regulation of peptidyl-serine d...	0.00609	BP	1	100	20	1.4142135623731
GO:2000594 | positive regulation of metanephric DCT c...	0.00609	BP	1	100	20	1.4142135623731
GO:2000597 | positive regulation of optic nerve forma...	0.00609	BP	1	100	20	1.4142135623731
GO:0098989 | NMDA selective glutamate receptor signal...	0.00609	BP	1	100	20	1.4142135623731
GO:0099180 | zinc ion import into synaptic vesicle	0.00609	BP	1	100	20	1.4142135623731
GO:0072703 | cellular response to methyl methanesulfo...	0.00609	BP	1	100	20	1.4142135623731
GO:1900122 | positive regulation of receptor binding	0.00609	BP	1	100	20	1.4142135623731
GO:0060734 | regulation of endoplasmic reticulum stre...	0.00609	BP	1	100	20	1.4142135623731
GO:1902667 | regulation of axon guidance	0.00609	BP	1	100	20	1.4142135623731
GO:0035799 | ureter maturation	0.00609	BP	1	100	20	1.4142135623731
GO:0021650 | vestibulocochlear nerve formation	0.00609	BP	1	100	20	1.4142135623731
GO:0043697 | cell dedifferentiation	0.00609	BP	1	100	20	1.4142135623731
GO:0070462 | plus-end specific microtubule depolymeri...	0.00609	BP	1	100	20	1.4142135623731
GO:0021633 | optic nerve structural organization	0.00609	BP	1	100	20	1.4142135623731
GO:1900215 | negative regulation of apoptotic process...	0.00609	BP	1	100	20	1.4142135623731
GO:1900218 | negative regulation of apoptotic process...	0.00609	BP	1	100	20	1.4142135623731
GO:0072300 | positive regulation of metanephric glome...	0.00609	BP	1	100	20	1.4142135623731
GO:0072305 | negative regulation of mesenchymal cell ...	0.00609	BP	1	100	20	1.4142135623731
GO:1903917 | positive regulation of endoplasmic retic...	0.00609	BP	1	100	20	1.4142135623731
GO:0035566 | regulation of metanephros size	0.00609	BP	1	100	20	1.4142135623731
GO:0070295 | renal water absorption	0.00609	BP	1	100	20	1.4142135623731
GO:0021797 | forebrain anterior/posterior pattern spe...	0.00609	BP	1	100	20	1.4142135623731
GO:0060404 | axonemal microtubule depolymerization	0.00609	BP	1	100	20	1.4142135623731
GO:0072162 | metanephric mesenchymal cell differentia...	0.00609	BP	1	100	20	1.4142135623731
GO:0015793 | glycerol transport	0.00609	BP	1	100	20	1.4142135623731
GO:0072108 | positive regulation of mesenchymal to ep...	0.00609	BP	1	100	20	1.4142135623731
GO:1902949 | positive regulation of tau-protein kinas...	0.00609	BP	1	100	20	1.4142135623731
GO:0061360 | optic chiasma development	0.00609	BP	1	100	20	1.4142135623731
GO:0015265 | urea channel activity	0.00612	MF	1	100	20	1.4142135623731
GO:0015250 | water channel activity	0.00612	MF	1	100	20	1.4142135623731
GO:0015254 | glycerol channel activity	0.00612	MF	1	100	20	1.4142135623731
GO:0017098 | sulfonylurea receptor binding	0.00612	MF	1	100	20	1.4142135623731
GO:0002135 | CTP binding	0.00612	MF	1	100	20	1.4142135623731
GO:0042043 | neurexin family protein binding	0.00612	MF	1	100	20	1.4142135623731
CBF_beta	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
DOR	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
DUF2353	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
DUF2370	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
Jun	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
MIP	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
PP1c_bdg	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
Radial_spoke_3	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
RD3	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
RNase_Zc3h12a	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
Synaphin	0.00714715115890729	Pfam	1	14971	20	2.04334304764559
GO:0048471 | perinuclear region of cytoplasm	0.00811	CC	6	3.37078651685393	20	0.726451132613027
GO:0120163 | negative regulation of cold-induced ther...	0.00847	BP	2	14.2857142857143	20	1.07466364969964
ERAP1_C	0.00884092030916451	Pfam	2	1497.1	20	1.78192334581529
GO:0045595 | regulation of cell differentiation	0.00952	BP	12	3.35195530726257	20	0.72477459903321
