HoiH23_g2.t1	
HoiH23_hyp_clust10028.t1	novel_protein
HoiH23_hyp_clust10304.t1	
HoiH23_hyp_clust10752.t1	
HoiH23_hyp_clust10864.t1	
HoiH23_hyp_clust10942.t1	
HoiH23_hyp_clust11033.t1	
HoiH23_hyp_clust1700.t1	
HoiH23_hyp_clust1852.t1	
HoiH23_hyp_clust1886.t1	
HoiH23_hyp_clust2751.t1	
HoiH23_hyp_clust2855.t1	
HoiH23_hyp_clust3515.t1	
HoiH23_hyp_clust4011.t1	
HoiH23_hyp_clust4034.t1	
HoiH23_hyp_clust4260.t1	B_Raf_proto_oncogene_serine_threonine_kinase
HoiH23_hyp_clust5206b.t1	FYN_proto_oncogene_Src_family_tyrosine_kinase
HoiH23_hyp_clust5206.t1	fyn_related_Src_family_tyrosine_kinase
HoiH23_hyp_clust5245.t1	
HoiH23_hyp_clust5779.t1	SEM1_26S_proteasome_complex_subunit
HoiH23_hyp_clust6323.t1	ubiquitin_C
HoiH23_hyp_clust68.t1	
HoiH23_hyp_clust9204.t1	fibroblast_growth_factor_receptor_1
HoiH23_hyp_clust9361.t1	chromobox_3
HoiH23_hyp_clust9443.t1	
HoiH23_PlH23_000001-RA	transmembrane_and_coiled_coil_domains_1
HoiH23_PlH23_000002-RA	calcium_channel_flower_domain_containing_1
HoiH23_PlH23_000003-RA	RAS_protein_activator_like_2
HoiH23_PlH23_000004-RA	alpha_tubulin_acetyltransferase_1
HoiH23_PlH23_000005-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2
HoiH23_PlH23_000006-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2
HoiH23_PlH23_000007-RA	sec1_family_domain_containing_2
HoiH23_PlH23_000008-RA	synaptotagmin_9
HoiH23_PlH23_000009-RA	dihydrouridine_synthase_1_like
HoiH23_PlH23_000010-RA	actin_related_protein_5
HoiH23_PlH23_000011-RA	G_protein_nucleolar_1_putative
HoiH23_PlH23_000012-RA	xenotropic_and_polytropic_retrovirus_receptor_1
HoiH23_PlH23_000013-RA	
HoiH23_PlH23_000014-RA	syntaxin_6
HoiH23_PlH23_000015-RA	WD_repeat_domain_47
HoiH23_PlH23_000016-RA	death_domain_associated_protein
HoiH23_PlH23_000017-RA	zinc_finger_ZZ_type_containing_3
HoiH23_PlH23_000018-RA	mannosidase_alpha_class_1B_member_1
HoiH23_PlH23_000019-RA	G_protein_signaling_modulator_2
HoiH23_PlH23_000020-RA	synergin_gamma
HoiH23_PlH23_000021-RA	
HoiH23_PlH23_000022-RA	ATPase_H_transporting_V1_subunit_G1
HoiH23_PlH23_000023-RA	monocyte_to_macrophage_differentiation_associated_2
HoiH23_PlH23_000024-RA	RNA_polymerase_III_subunit_H
HoiH23_PlH23_000025-RA	BRISC_and_BRCA1_A_complex_member_1
HoiH23_PlH23_000026-RA	heat_shock_protein_family_A_Hsp70_member_5
HoiH23_PlH23_000027-RA	DDB1_and_CUL4_associated_factor_10
HoiH23_PlH23_000028-RA	SET_nuclear_proto_oncogene
HoiH23_PlH23_000029-RA	NADP_dependent_oxidoreductase_domain_containing_1
HoiH23_PlH23_000030-RA	DExH_box_helicase_9
HoiH23_PlH23_000031-RA	neuropeptide_FF_receptor_2
HoiH23_PlH23_000032-RA	
HoiH23_PlH23_000033-RA	solute_carrier_family_15_member_4
HoiH23_PlH23_000034-RA	DNA_damage_regulated_autophagy_modulator_2
HoiH23_PlH23_000035-RA	microsomal_glutathione_S_transferase_1
HoiH23_PlH23_000036-RA	microsomal_glutathione_S_transferase_1
HoiH23_PlH23_000037-RA	microsomal_glutathione_S_transferase_1
HoiH23_PlH23_000038-RA	microsomal_glutathione_S_transferase_1
HoiH23_PlH23_000039-RA	argininosuccinate_synthase_1
HoiH23_PlH23_000040-RA	PPAN_P2RY11_readthrough
HoiH23_PlH23_000041-RA	microsomal_glutathione_S_transferase_1
HoiH23_PlH23_000042-RA	SWT1_RNA_endoribonuclease_homolog
HoiH23_PlH23_000043-RA	laminin_subunit_gamma_1
HoiH23_PlH23_000044-RA	neural_proliferation_differentiation_and_control_1
HoiH23_PlH23_000045-RA	ATP_binding_cassette_subfamily_F_member_1
HoiH23_PlH23_000046-RA	WD_repeat_domain_31
