Cript	HoiH23_PlH23_000418-RA	Cript
Guanylate_kin	HoiH23_PlH23_000883-RA	Guanylate_kin
Guanylate_kin	HoiH23_PlH23_002191-RA	L27 PDZ SH3_1 Guanylate_kin
Guanylate_kin	HoiH23_PlH23_002224-RA	Guanylate_kin
Guanylate_kin	HoiH23_PlH23_002606-RA	LRR_4 LRR_9 Guanylate_kin
Guanylate_kin	HoiH23_PlH23_003279-RA	Guanylate_kin ELMO_CED12
Guanylate_kin	HoiH23_PlH23_004276-RA	PDZ PDZ Guanylate_kin
Guanylate_kin	HoiH23_PlH23_007615-RA	L27 PDZ Guanylate_kin
Guanylate_kin	HoiH23_PlH23_007781-RA	L27_1 PDZ PDZ PDZ SH3_1 Guanylate_kin
Guanylate_kin	HoiH23_PlH23_007923-RA	PDZ Guanylate_kin WW PDZ PDZ PDZ PDZ
Guanylate_kin	HoiH23_PlH23_009533-RA	Pkinase PDZ Guanylate_kin
Homer	HoiH23_PlH23_000540-RA	WH1
Homer	HoiH23_PlH23_001282-RA	WH1
Homer	HoiH23_PlH23_001284-RA	WH1 PBD WH2 WH2
Homer	HoiH23_PlH23_003059-RA	WH1
Homer	HoiH23_PlH23_005005-RA	WH1
GKAP	HoiH23_PlH23_001091-RA	GKAP
GKAP	HoiH23_PlH23_009587-RA	GKAP
SynGAP	HoiH23_PlH23_000003-RA	C2 RasGAP DUF3498
PDZ	HoiH23_PlH23_000283-RA	PDZ
PDZ	HoiH23_PlH23_000536-RA	PDZ PDZ PDZ PDZ PDZ PDZ
PDZ	HoiH23_PlH23_000566-RA	PDZ PX
PDZ	HoiH23_PlH23_000592-RA	PDZ Sec7 PH_9
PDZ	HoiH23_PlH23_001072-RA	PDZ
PDZ	HoiH23_PlH23_001235-RA	PDZ
PDZ	HoiH23_PlH23_001486-RA	DIX PDZ DEP
PDZ	HoiH23_PlH23_001541-RA	DUF1908 Pkinase PDZ_6
PDZ	HoiH23_PlH23_001613-RA	PDZ PDZ_6
PDZ	HoiH23_PlH23_001711-RA	PDZ PH_17 PH
PDZ	HoiH23_PlH23_002040-RA	PDZ SH3_9 SH3_1 SH3_9
PDZ	HoiH23_PlH23_002191-RA	L27 PDZ SH3_1 Guanylate_kin
PDZ	HoiH23_PlH23_003069-RA	PDZ
PDZ	HoiH23_PlH23_003163-RA	PDZ RhoGAP
PDZ	HoiH23_PlH23_003559-RA	LRR_8 LRR_8 PDZ PDZ PDZ PDZ
PDZ	HoiH23_PlH23_003708-RA	PDZ RGS
PDZ	HoiH23_PlH23_003930-RA	PDZ Intu_longin_1 Intu_longin_2 Intu_longin_3
PDZ	HoiH23_PlH23_004137-RA	LRR_8 LRR_8 LRR_8 PDZ
PDZ	HoiH23_PlH23_004276-RA	PDZ PDZ Guanylate_kin
PDZ	HoiH23_PlH23_004288-RA	L27 PDZ
PDZ	HoiH23_PlH23_004489-RA	PB1 PDZ
PDZ	HoiH23_PlH23_004813-RA	TPR_11 TPR_8 PID PDZ PDZ
PDZ	HoiH23_PlH23_005170-RA	PDZ PH
PDZ	HoiH23_PlH23_005554-RA	PDZ
PDZ	HoiH23_PlH23_005566-RA	DEP DEP PDZ_6
PDZ	HoiH23_PlH23_005677-RA	Par3_HAL_N_term PDZ PDZ
PDZ	HoiH23_PlH23_005692-RA	PDZ PDZ PDZ SH3_2 ZU5
PDZ	HoiH23_PlH23_006109-RA	RA PDZ
PDZ	HoiH23_PlH23_006865-RA	PDZ PDZ PDZ PDZ
PDZ	HoiH23_PlH23_007601-RA	zf-C3HC4 PDZ
PDZ	HoiH23_PlH23_007615-RA	L27 PDZ Guanylate_kin
PDZ	HoiH23_PlH23_007781-RA	L27_1 PDZ PDZ PDZ SH3_1 Guanylate_kin
PDZ	HoiH23_PlH23_007923-RA	PDZ Guanylate_kin WW PDZ PDZ PDZ PDZ
PDZ	HoiH23_PlH23_008213-RA	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ PDZ PDZ Y_phosphatase
PDZ	HoiH23_PlH23_008426-RA	PDZ RGS-like C1_1 RhoGEF PH_16
PDZ	HoiH23_PlH23_008641-RA	PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ PDZ
PDZ	HoiH23_PlH23_008764-RA	PDZ
PDZ	HoiH23_PlH23_008984-RA	PDZ PDZ Roc Death
PDZ	HoiH23_PlH23_009222-RA	PDZ LIM LIM LIM
PDZ	HoiH23_PlH23_009273-RA	PDZ PDZ WW
PDZ	HoiH23_PlH23_009533-RA	Pkinase PDZ Guanylate_kin
PDZ	HoiH23_PlH23_010438-RA	RA DIL PDZ
PDZ	HoiH23_PlH23_010498-RA	PDZ_6 C2
PDZ	HoiH23_PlH23_010550-RA	PDZ PDZ PDZ PDZ SH3_2
PDZ	HoiH23_PlH23_010557-RA	RA RA DIL PDZ
PDZ	HoiH23_PlH23_010628-RA	PDZ RGS-like C1_1 RhoGEF PH_16
PDZ	HoiH23_PlH23_010944-RA	PDZ_6 PH_9 RhoGAP
ANF_receptor	HoiH23_PlH23_000005-RA	ANF_receptor 7tm_3
ANF_receptor	HoiH23_PlH23_000006-RA	ANF_receptor 7tm_3
ANF_receptor	HoiH23_PlH23_000342-RA	ANF_receptor
ANF_receptor	HoiH23_PlH23_000717-RA	ANF_receptor 7tm_3
ANF_receptor	HoiH23_PlH23_000718-RA	ANF_receptor 7tm_3
