	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Tadh_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8792256187778908	0.5887185763235303	0.00021128119054646566	0.002265389118775469	0.007353438056672396	0.03081280541974596	0.0013333840504166855	0.000550970915334723	0.0	0.0003915752486335116	0.006119328499910548	0.0	0.0	0.0	0.011147225072532733	0.0	0.0	0.0	0.0013110046978015463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18301115435383417	0.0029069417608269584	0.056760840394383456	0.0	0.0	0.0	0.0	0.0014898599249099282	0.0	0.003256707656082162	0.0005246480801202979	0.0011964493331106795	0.86802417650477	0.0015140965717176554	0.00395578160475152	0.01745106830721926	3.0157374224669796e-05	0.0004488737388172731	0.8364635954636306	0.0	0.00015790747000273396	0.0	0.0005753674630437609	0.005161639156178477	0.0	0.0	0.0	0.0	0.03176033623224422	0.0	0.0	0.0	0.0010350385769718577	0.0	0.0005109862162034519	0.0	0.0	0.0019546206300064704	0.0008111317922820038	0.0	0.0	0.0	0.29630257103349933	0.0	0.0	0.0	0.0	0.0	0.17760013162980667	0.0013697279904980567	0.9249491394857269	0.019248626502860036	0.045729365537321126	0.002079528279205861	0.004293780914829204	0.0001376426050700521	0.0001577671801093239	0.0005821992445533066	0.012995141995439066	0.00030870469162293766	0.0028105424504959588	0.0	0.0	0.02609221469426086	0.13859908631127843	0.0	0.0	0.006094962332077339	0.012361975875430085	0.0	0.0	0.0	0.0033268848667328695	0.0	0.049588045545544385	0.0	0.17771474896702524	0.0001373546698035585	0.0	0.0	1.918066003409391e-05	0.0	0.08303875441054959	0.0	0.005103557253913402
Tadh_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1337005503697324e-05	0.00029236102551310946	0.8422024234348523	0.001097051789851234	0.05271613441519126	0.005721632424885404	0.03975805786756672	0.0035435596477270525	0.0032792190754335664	0.0	0.0	0.008202953848369787	0.0	0.009102605873414295	0.008735241846234643	0.0	0.0012617201918143097	0.003572842461945934	0.0	0.0	0.0	0.0012005868400877953	0.0014066741747070172	0.00040750622323895805	0.0	0.0	0.0	0.001910083182223701	0.0	0.0	0.03360563890424514	0.0	0.0	0.001557903246420161	0.0	0.0	0.0	0.0010219255216368701	0.0016543505135785904	0.581988661419171	0.012780842862365523	0.16331753564201468	0.0	0.09185741211247393	0.0	0.0020643356240432563	0.0	0.0038846796199006077	0.0	0.0	0.0	0.0282599757156033	0.0	0.0	0.0008720281827612525	0.0	0.0	0.0	0.0	0.0	0.0009656024399879674	0.002638829114013973	0.0	0.0012853377440806726	0.006011386665645388	0.0	0.0	0.0	0.0062450505510951	0.0	0.00647599562885429	0.008256204103937334	0.00043189618410279125	0.0	0.0	0.0022507055596134255	0.00016022081519815142	0.6902871588023831	0.011181736684395557	0.15728358126714564	0.00024361301954338433	0.0	0.04160126050956367	9.600676999989044e-05	6.726979479127393e-05	0.003789378264719548	0.00020168436487706876	0.007297543392381911	0.0	0.000680966255185415	0.0031398234844871352	0.0	0.0	0.0	0.0003601011305492673	0.0	0.0013862026725620547	0.0052834735668476455	0.0	0.0	0.0013310320833338513	0.0	0.04350013973636884	0.01637191541977124	0.0016414653440563545	0.0	0.0008418747965274922	0.0	0.000616894256549614	0.0	0.001155864995210968
Tadh_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2994519656153845e-05	0.0005186468809482093	0.0035345443909396727	0.8692694110967363	0.03106455104482906	0.0	0.0	0.0	0.0	0.01513363193193764	0.0	0.0	0.0	0.0	0.01611393628659975	0.0	0.0	0.0	0.0	0.014008625238766946	0.0	0.013385508416425817	0.0	0.0	0.0	0.0	0.0	0.0008006683660753819	0.0	0.0	0.0009439731113788004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007506490752038441	0.6631380903355932	0.0005652710421679879	0.0	0.0	0.0	0.0	0.0	0.0	0.014475654076940883	0.0	0.0	0.0	0.0	0.0	0.010607808761798319	0.00013680875910285857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016589590113932885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017163342660784486	0.0	0.0	0.0009984293736663573	0.0	0.0	0.0	0.7295261103119866	0.0	0.0	0.00041780477389529976	0.0	0.0	0.0	0.0	0.016083547274384952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04181992922628158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032342529372718755	0.0	0.0
Tadh_epithelia_unknown_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012828829094343845	0.00022354418790796246	0.3456251762192839	0.018996010464246593	0.6003335025171281	0.0030696062382821847	0.0024199492791477637	0.0007882882229769681	0.0013070136389256681	0.0	0.0	0.0	0.0	0.004417000087693613	0.0	0.0	0.0	0.0015687703292631794	0.0	0.0014479330352289946	0.0	0.0	0.0	0.0007587828850088745	0.0	0.0	0.0021536220307084818	0.011104912019949226	0.0	0.0	0.04286116745565105	0.0	0.00019599373825728727	0.0	0.0	0.0016882423613559711	0.0	0.0012711494543017439	0.0010102037144043663	0.08317559298113329	0.4841110359591524	0.1568873482931068	0.0	0.0075217486993029185	0.0	0.0003297616728001226	0.0	0.0009708829390555245	0.0	4.090136498039139e-05	0.0	0.0	0.004157677749959745	0.00242182111901753	0.0	0.0008153028781826637	0.0	0.0	0.0	0.0014220264655841022	0.0	0.0	0.0	0.0	0.004974967655498728	0.0	0.0	0.0	0.003015429342654056	0.0	0.0015931826125988146	0.006048806877971656	0.0	0.0	0.003244867025811474	0.0	0.0002532052013435725	0.0967216894186843	0.38120286504926604	0.17026225607547746	0.0	0.0	0.006867899298884804	0.0009378334859899476	0.0003429741939145276	0.0012033815018150126	0.0002956205246089866	0.0	0.0080698389917293	0.002789811716164377	0.00014754100175754927	0.0007415858692883284	0.0	0.0002325211812947899	0.0015069180150414781	0.0	0.0	0.004842206832567509	0.0004237053584157256	0.0	0.000767158637698559	0.0	0.003095124184395573	0.0028477555462120847	0.0008127318649107525	0.0	0.0	0.0	0.0003057678394359139	0.0	0.00011718892187183357
Tadh_epithelia_unknown_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009893720549675564	0.016902789251866838	0.004516246115439746	0.01495886976027864	0.8768703735387453	0.04482041930211401	0.0020012159533711452	0.00011787681753210104	0.0014958078527502361	0.0	0.008448783463986509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032158523751268524	0.0	0.0	0.0	0.00034137379221390647	0.01703831315624565	0.0	0.0	0.007042709904534974	0.020453328018754567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001157388684322608	0.0006861104445050096	0.0	0.009851108258688238	0.0	0.427643961213069	0.11995850450693858	0.0	0.0001321943438977848	0.00837928080802586	0.0	0.0	0.002346050872473627	0.002182817467995603	0.013223525509533807	0.0	0.0	0.0	0.0	0.0	0.00014289163685131016	0.0005971303123240119	0.0	0.0014380714988044782	0.0	0.0	0.001424101132010914	0.0	0.0	0.0019046845817898813	0.0	0.0	0.0	0.1075844183657326	0.0	0.0	0.0	0.0	0.0	0.0055296598427676084	0.0	0.0098505390000732	0.03867143588731895	0.6314227488073374	0.06216442526597203	0.00043039930761646326	0.00028783197046588056	0.00017225863199542892	0.0	0.007233822118743214	0.0030165797741627002	0.0025537229523063167	0.0	0.0	0.02199731168658444	0.05238869147491814	0.0	0.0	0.006607347244887332	0.005403092961707804	0.0	0.0	0.0008190073969757276	0.0033950435964363018	0.0	0.0041411205815572415	0.0	0.0	0.005817085071001595	0.0	0.0	0.0	0.0	0.045139765258606454	0.0	0.0027152485313770066
Tadh_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018178724533598162	0.0025635190880397736	0.26962748801170067	0.004273118200743732	0.813088089797282	0.0014619351164979768	0.0024077205528579707	1.9532225184421757e-05	0.01336050779944451	0.0019711703478451775	0.0	0.0244178477089967	0.0	0.017835848175262493	0.0	0.0	0.0009906340328107955	0.0	0.0014393468501862376	0.0027107041184017836	0.0005380375969271379	0.0	0.0	0.5004519558311173	0.0	0.0	0.3099188184611411	0.17364895430054178	0.0	0.0	0.10270753603374484	0.0	0.0	0.000122818935713904	0.0	0.0005441167589305246	0.0	0.0013283179890343445	0.005376607136521815	0.44163477484329045	0.066323122329874	0.8688729499194707	4.087188583780393e-05	0.0029369266888167904	0.0	0.0003671293207960218	0.0	0.0034495707069470928	0.0010186846710366433	0.0	0.0	0.0751251671195268	0.0	0.00044046952463158066	0.0	0.0060365926085997204	0.00015367900886885754	0.0	0.00048417554988982377	5.099823232069543e-05	0.0005764330019369176	0.0	0.0	0.0	0.17211630186356108	0.0	0.0	0.0	0.3670867477895847	0.0	0.0016789712535439875	0.043671848619141	0.006455608266023827	0.00029670000570644037	0.00711007489612999	0.0	0.003537994003622328	0.23883355779978424	0.3178392668637479	0.9283672374866736	4.291891862739114e-05	0.0	0.0054644120984086424	0.0	6.057026946965672e-05	0.0013134646216069865	0.0025512946847842883	0.011496927650619486	0.0	0.0038524428992183094	0.020703298132116355	0.0	0.0	0.0006388346963469635	6.186847087914434e-05	0.0	0.0	0.1842644116670823	0.0	0.0	0.00013048255600345073	0.0	0.0023423956773292974	0.14622256571562242	0.0652677788286843	0.0	0.00020978379485122114	0.0	0.047341002776128786	0.0	6.067548200594939e-05
Tadh_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003749433139054811	0.02107761250467259	0.001408270839069668	0.0	0.001590020243433952	0.9873473034626103	0.002211921823635004	0.002345520952649419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004236959848537741	0.005114041828479487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00477971883411007	0.0	0.5653655833467391	0.21786680526560326	0.0	0.44691882167982294	0.0	0.006191276004747414	0.0	0.0	0.0	0.002110160275686849	0.0009886701416323225	0.0008200342159180596	0.0	5.62309029814681e-06	0.982863271445952	0.0	0.0	0.0033031715311947762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3889523577001023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006200859430122681	0.0028894872441451876	0.0	0.9675142437590927	0.6844227942047645	0.00013860960783999038	0.0028619936531750134	0.006133139994790238	0.0	0.0	0.0	0.0	0.0	0.0010710839363812753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027214069038379507	0.6912532300989579	0.0	0.009793331525140881	0.0	0.49812541602225746	0.000521003035016544	0.0	0.006779030733839633	0.016145798983966557	0.008175060407046634
Tadh_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007073094251231954	0.002500450885321742	0.01153214075166821	0.0	0.004987330722107933	0.0005026701058217102	0.9729451323813381	0.00019630111854361515	0.0	0.0	0.0	0.0	0.0	0.026430307242872778	0.0011525364428232395	0.0	0.0	0.0	0.0	0.0	0.017054022855016157	0.0	0.0	0.0	0.0	0.0004440238961208469	0.0	0.0	0.0	0.16770644747772687	0.0	0.0	0.4762990333091123	0.00817615419122862	0.0	0.0008256861481980068	0.0	0.0	9.124276841032682e-06	0.05055818277232328	0.00043368356123389044	0.0005345751073824299	0.0	0.9692460865023985	0.012860785378696827	0.0	0.0	0.0	0.000404508380680256	0.0	0.0	0.0	0.0	0.011482060456153721	0.0005723273492476073	0.0	0.0	0.0	0.0	0.0	0.00011075028027426854	0.0	0.0	0.0	0.0	0.0007101170322594795	0.0	0.00044205341860949763	0.0003531687354563751	0.020689625056334336	0.40505602079882164	0.595648497359902	0.0	0.20230171754933918	0.0	0.0	0.0010734353199140438	0.12733770124351762	0.00035247506614230175	9.419742190439374e-05	0.0	0.0	0.9799134421726533	0.0	0.0	0.0	0.0013398894260395506	0.006873708047577266	0.0	0.004902293856896378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004522197203872189	0.0	0.0	0.0	0.0	0.28795491007238755	0.38626863259459465	0.0	0.0	0.19241490810872713	0.0	0.00035986317633852216	0.03771508593413193	0.0
Tadh_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04490582314101977	0.0	0.0	0.0012020648047549368	0.006181329231851185	0.0012448353502226795	0.9863583771066811	0.0	0.0004907557160466499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010065741580085576	0.0	0.005172620330070883	0.0	0.0	0.0	0.0	0.0	0.0	0.3162802718312441	0.12121302189892967	0.06960423687943015	0.00814141193418581	0.0	0.0003450615163094056	0.0	0.0	0.001029137959353862	0.0030503730621533106	3.044520383782586e-05	0.0	0.0	0.0	0.0	0.9792659215589403	0.00028095843818039257	0.0	0.0005760453985706026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003776550389258353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021534160109468865	0.0	0.0	0.6568986099162063	0.2784670724265262	0.00010844372417662967	0.013792839880762468	0.0	0.0028938974769026357	0.0007441162416667575	0.0	0.0	0.0	5.05269243364234e-05	0.9877425917856142	0.004134783239950558	0.0	0.0005972172825102422	0.0	0.0	0.0005218429882453845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004875797167392441	0.005429424776784152	0.5421553585622653	0.08155102820791546	0.3008660815095127	0.5460281330562327	0.0050890184263666345	0.01459854396846549	0.014359005915002509
Tadh_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003401549251079223	0.0	0.0016994936344410148	0.00037284868339603925	0.003737391584326225	0.0	0.9537374912088898	0.0	0.0	0.0	0.0	0.006781110887440139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011504016469827663	0.0	0.0	0.002543387500820816	0.061167383159940227	0.0	0.0	0.0	0.0	0.0	0.002379248009105114	0.0	0.006249410154353446	0.0	0.0	0.0003918424185506232	0.0033846897288349505	0.0	0.003861290735960721	0.0	0.0036777898959511855	0.0	0.0	0.0	0.9548022922787173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05372068255012016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001200379808716868	0.0	0.0	0.007687704498876846	0.0	0.0	0.003861824826963395	0.0	2.4902966804829486e-05	0.9437234825568943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021909566487691073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
