	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Tadh_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9979175915068252	0.13655797412974846	0.5637608142290845	0.03906442148328037	0.003432027159177392	0.0003673733519643878	0.0009564629164348016	0.009538562327825144	0.040924508614762004	0.0	0.009652529309663756	0.0	0.0	0.018828170998277955	0.771017074509358	0.0	0.0	0.01871780931022128	0.010725394004415354	0.0	0.0	0.0	0.0028320118591609843	0.0	0.1977684081071876	0.0	0.18095660821694765	7.347941707141058e-05	0.0	0.0	0.0	0.0	0.3506660933809587	0.0	0.011917664355272181
Tadh_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013502126851902719	0.9929504812191752	0.12412147628098794	0.6932730676384231	0.0	0.0	0.5215053871774449	0.006928870015207847	0.002399945995166465	0.027312891816181805	0.0011542537299131825	0.008719244292623036	0.0	0.0028636966411461863	0.007718883216646705	0.0	0.0	0.0003278388014351488	0.0021290700872973497	0.0	0.009593582917581864	0.0050532601528632485	0.0	0.0	0.00835620825426327	0.0	0.04257013522401991	0.021904712747975976	0.005526953891739027	0.0	0.001177594778246791	0.0	0.0023896322792705876	0.0	0.006105823431455777
Tadh_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8698098731872017	0.0	0.0	0.0018742143003982533	0.0	0.0	0.0	0.0	0.01665246608352448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008262898320437837	0.0	0.0	0.00937256033090534	0.0	0.0
Tadh_epithelia_unknown_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003094161824467889	0.7039145296148007	0.9272737039046148	0.8934866442826752	0.0003179527325824946	0.0	0.05634245391314946	0.0	0.0028281537681904218	0.005155458481397937	0.0007540965263299979	0.0	0.01840747024934702	0.018508601042803847	0.004096502040396622	0.007073454068224204	0.00020230162014789354	0.0006123560474711117	0.010905818010980742	0.0	0.0	0.004366497637657741	0.0003893385441454846	0.0	0.005868434490722323	0.0	0.002389673427921762	0.01133680632101559	0.0	0.0	0.0	0.0	0.004652514644979184	0.0	0.0008718421473289661
Tadh_epithelia_unknown_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03320162344960999	0.08028660226727215	0.9943077200470885	0.2519045949093738	0.004094377758143894	0.0013298418431956875	0.0006762756398857912	0.0	0.021308424269290784	0.015116714415304636	0.009401793489830066	0.0	0.0	0.017722853951631486	0.1184561392532838	0.0	0.0	0.009584184505208971	0.006501727907020413	0.0	0.0	0.009234748285811854	0.002662644702723962	0.0	0.013744634486901563	0.0	0.0	0.006077192873985037	0.0	0.0	0.0	0.0	0.18942501534925701	0.0	0.002705404031137687
Tadh_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09265935722742567	0.9587589934928827	0.9649673771340987	0.9992074957995228	0.00035951097517293264	0.0	0.1936446179603373	0.0	0.0005759760600443432	0.021123256301503333	0.02660012305278091	0.011699697575214555	0.0	0.010032057248918846	0.01613474585226508	0.0	0.0	0.011619700101137971	0.00029627768306299734	0.0	0.0	0.18514327737480324	0.0	0.0	0.0008195909759340641	0.0	0.0012417048892288437	0.2265103644243351	0.06764944818908747	0.0008023643074732857	0.0	0.0	0.2027333615381087	0.0	0.0007808555248442905
Tadh_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00797637378582408	0.045219063009537916	0.0	0.9997944612242249	0.7627472872700563	0.005727274432128745	0.021702053870002826	0.023569944264361414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008419879855072492	0.7301070616130747	0.0	0.014575049347370006	0.0	0.48130638159492845	0.0038447153288767195	0.0	0.02614471183032257	0.00951650540724353	0.040912917837581456
Tadh_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016903706826269498	0.8510294203173258	0.003372279159190289	0.0014280168787825058	0.0	0.0	0.9997694226071024	0.0	0.0004886521622036011	0.0	0.009983744237831894	0.006621553767321903	0.0	0.021085164422770575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003209729414189808	0.0	0.009276485893652304	0.0	0.0	0.2751874961351181	0.5564872482626306	0.0	0.0	0.4123033933732422	0.0	0.0045469553719475544	0.03946318700156677	0.0
Tadh_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0389410264088969	0.007256505760764707	0.0	0.0	0.0	0.004812100362411056	0.9997723159881643	0.06943346458675603	0.0	0.009704187546364316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057867276635927365	0.010548774177713337	0.5203046203601359	0.07608415001590782	0.6710540095401806	0.527891379729392	0.06628418136577978	0.01407819310079031	0.03141711721898998
Tadh_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009866174643127484	0.0	0.0	0.06064993988834718	0.0	0.0	0.016606040527137135	0.0	0.0	0.9881612024851385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02366594000168595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
