	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1
TrH2_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7803253620729766	0.006434798701954012	0.00461213952789657	0.03532472034259064	0.004749515282153608	0.01215954376705106	0.8472080386256596	0.0	0.0	0.0	0.004284813661347557	0.0	0.0	0.0006995844478227454	0.0	0.001649446681953839	0.0035685694798171996	0.0017890016529034179	0.0006150555211503797	0.0	0.006970995336510988	7.456985221642546e-05	0.0008759194695397191	0.0034250757028549557	0.0	0.0	0.0009493505758003081	0.00035496133950639743	0.0	0.0018176209397215866	0.3684127806260265	0.007087988105852268	0.0005024037329446316	0.0004045597571091343	0.0	0.0	0.030651047551976618	0.0
TrH2_epithelia_dorsal_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10284322292092578	0.008489306631273742	0.005823288060684714	0.007604132179913628	0.026762377138035587	0.005640946388334137	0.13619571145883502	0.027385043635769983	0.9361640136256574	0.0	0.0042456459230298125	0.0006989726682694392	0.0	0.0	0.0031998390167868465	0.0	0.0	0.0001889813290068217	0.0	0.0	0.023498166532333446	0.00028971574902259673	0.0	0.001769891682626272	0.0	0.0	1.834619223404146e-05	2.091013475653678e-05	0.0024361718410495056	0.011269421400144246	0.024812436151039535	0.008196672859166136	0.05854469087351245	0.0	0.0004884454168157167	0.0	0.7996391877099951	0.01862210682369382
TrH2_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011421151529663926	0.482255000143487	0.22270050450832124	0.23481993250881975	0.0013009921378974814	0.0466840203195104	0.0	0.0	0.0	0.0039014068825279774	0.0010473231695243771	0.0	2.511281083235172e-05	0.0	0.0023031201784976993	0.0	0.0	0.003503198352671655	0.00019703237123894348	0.0	0.001480768791446397	6.737383868346387e-05	0.0005783026059000283	0.0	0.0	0.0019902565559491605	0.006219922062210932	0.0	0.0	0.0014137039004941505	0.02994450826353992	0.0	0.00782746548774199	0.02048440044034739	0.0009987841280157117	0.0008220983782776233	0.0027083556365497586	0.0024606296977466033
TrH2_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002744518806439183	0.0	0.8267124722507045	0.005011323818585269	0.0	0.0	0.0	0.0	0.0	0.0	0.035840278196798116	0.0	0.0007118826224962201	0.0	0.0	0.0	0.019764973845952577	0.002506390004824159	0.0	0.0	0.0	0.021653152841156886	0.0	0.0	0.0	0.021239769519086297	0.00031170516144027316	0.0	0.0	0.0	0.0011491542742118077	0.0	0.0	0.00014844377408648738	0.0	0.0	0.001118369374893723	0.0
TrH2_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006578459652896535	0.2799156704232344	0.5069105887053308	0.8056489073886441	0.002273936242251056	0.00865046093902755	0.0018399979926457103	0.0008866527660803369	0.0024394772810098866	0.0017366048710518573	0.04135019240186748	0.0060553458188001025	0.0	0.0015381066749149616	0.0013466699915790294	0.0	0.0007339934368422477	0.005306896681575029	0.0015230676194808834	0.0	0.0014278805359389016	0.0002068104767242008	0.0012612385477117527	0.000660692605715513	0.0	0.028120498287582518	0.1429242695449217	0.0	0.02805732833914486	0.001596408817085305	0.3216105144274292	0.009829739319834347	0.0007902888301807023	0.03571241573324045	0.00968368285675025	0.00020669742562754419	0.006908478600107913	0.00042788954537137673
TrH2_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014250238906242487	0.0014477149090029089	0.0005343162028555688	0.010177603461989242	0.9852206729048166	0.0007443741204573876	0.0	0.005660053395753725	1.9287790194486637e-05	0.0007904312691976448	0.004489158340476347	0.0	0.0	0.0	0.0005401531882241954	0.0010873217091442874	0.0144153701774631	0.00028003989594041696	0.0029923770861918562	0.0	0.0	0.0	0.0007574659944326224	0.0	0.0	0.0012493054325509593	0.0007130741456181325	0.0	0.0	0.00038425182547856333	5.699586005044058e-05	0.5081460424422575	0.0	0.0	0.0	0.0	0.0	0.0
TrH2_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004026087275919892	0.05724275101240238	0.0008852516804496443	0.0027937077141076327	0.002972231734874012	0.9563065361228258	0.009698408510411722	0.000828023899014361	0.0	3.05369499061578e-05	0.0004710052894744998	0.0	0.0	0.0	0.0	0.0036649264496830592	0.0011623305342878991	0.0	0.0	0.0	0.0	0.0	0.0012218259924830523	0.0	0.0	0.00030421325246175605	0.0002684294237426946	0.0	0.0	0.0	0.0003560974936880962	0.015894560579021343	0.3707221301103719	0.6059626918265582	0.0	0.1593799081764736	0.0	0.0
TrH2_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010724834326407812	0.0042636332783251175	0.0	0.0001706614767865682	0.00038865796091040294	0.00041034268797339804	0.0	0.9824343055045601	0.00012249888233049235	0.0	0.0013568775649556773	0.0	0.0	0.0	0.0	0.00030977008714621804	0.0	0.0	0.0	0.0	0.003891272192790339	0.0	0.0	0.0	0.0	0.0004970089688041846	0.0001335247646282032	0.0	0.0	0.0	0.0	0.02683966192440921	0.00039065372635705786	0.000160547603591294	0.7123776166083371	0.3329553075534101	2.9922779219684202e-05	0.0023430736943250824
TrH2_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003637257338790094	0.0014416166773631046	0.0	0.01232369679406859	0.0	0.0003185823080772446	0.0	0.0	0.0	0.9687848768644957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025476145466689127	0.0	0.0	0.0	0.002606476111814834	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TrH2_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001584247519431985	0.001551619855446606	0.001970655775367298	0.008652275109491906	0.008419364126925701	0.0003826630243981903	0.0	0.0015479715391398907	0.0	0.0	0.8955192301939515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03191731558393651	0.0	0.0	0.0	0.0	0.0026181661800125057	0.0	0.0	0.0	0.0014501241410923404	0.00020124128742389605	0.0	0.019985325014420206	0.0	0.0	0.0020271198065618624	0.0
