	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4
Tadh_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.876883327588654	0.6176573524267768	4.612376579880262e-05	0.0016359011079629855	0.006245011042888939	0.023552073352382068	0.0013484561307828807	0.000544422679707144	0.0	0.0003571094568843165	0.006126934698271081	0.00024401376921977247	0.0	0.0	0.0024666791493476352	0.0	0.0005537005754572966	0.0	0.0013012886926877258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17695859555183074	0.004288459920965105	0.057463625860532684	0.0	1.7508871000909193e-05	0.0	0.0	0.002391568557625078	0.0	0.001764951870986142	0.0005706596280518127	0.0007757007588738809
Tadh_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.864543093319178e-05	0.0003842315730525929	0.8606036355852046	0.0	0.0393573319479775	0.004672885779326943	0.046176563489297724	0.002077149049906141	0.003266376107276052	0.0	0.0	0.007516739505333261	0.0	0.0117556218067984	0.008598284445120202	0.0	0.0012407887877917817	0.00319404804859868	0.0	0.0	0.0	0.001150264300871725	0.0014034534232350894	0.000380141493026593	0.0	0.0	0.0	0.001664045343817548	0.0	0.0	0.03415438774459645	0.0	0.0	0.0060300051423250066	0.0	0.0	0.0	0.0004112982782013136
Tadh_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052838244467589566	0.8863887808414812	0.028261146397497022	0.0	0.0	0.0	0.0	0.013678152574331734	0.0	0.0	0.0	0.0	0.015509422093572842	0.0	0.0	0.0	0.0	0.014464192791699831	0.0	0.017415573861950345	0.0	0.0	0.0	0.0	0.0	0.0007802946047665877	0.0	0.0	0.0009314148364596543	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_epithelia_unknown_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005258562215325227	0.3781209817632581	0.009147013504575493	0.5677126501233194	0.0040163584791899016	0.002831976810111109	0.0015579007978011176	0.001196532431515953	0.0	0.0	0.0	0.00420407197539198	0.0049173455313211946	0.0	0.0	0.0	0.0026126014429343346	0.0	0.0014491211874121206	0.0	0.0	0.0	0.000732521278413652	0.0	0.0	0.0021728953394159253	0.012738470708431435	0.0	0.0	0.06639144912359099	0.0	0.00022785743180029106	0.0	0.0	0.0014238348664774585	0.0	0.0025019500399862337
Tadh_epithelia_unknown_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00999524157390794	0.019456237837220496	0.003458652683315973	0.03302380538797399	0.8983782861474665	0.03135705667562252	0.0011768371001881358	3.205566131854773e-05	0.002223764764493845	0.0	0.007356590809371001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003045548804975982	0.0	0.0	0.0	0.0	0.023698648311350913	0.0	0.0	0.009248291726613983	0.014914441537894623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005393290655383672	0.001423965625164308	0.0
Tadh_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01346098561014871	0.0030929361481744065	0.25308378225222594	0.0022076591591110406	0.8115876393885435	0.0013732737515634052	0.0024449211360215626	1.683958766611793e-05	0.001438911098430236	0.002961847623337797	0.0	0.02474103156169015	0.0	0.01907896675580347	0.0	0.0	0.0004917735740667819	0.0	0.0014409266718575446	0.0019553923735291328	0.0025370674332447552	0.0	0.0	0.5182743471336894	0.0	0.0	0.28388516239876765	0.17353299962059082	0.0	0.0	0.10071188067453847	0.0	0.0	0.017577693032641305	0.0	0.0023827377011182913	0.0001914941981175255	0.0013111251598883554
Tadh_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037852302541318975	0.020332522161015724	0.0014195861054683194	0.0	0.0016458639237007737	0.9875847698967373	0.002380192705734992	0.003136019285027649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004854984429613901	0.005327394699004106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004851207072959399	0.0	0.5489873871639859	0.23875366878423532	0.0	0.4952417415629604	0.0	0.006720696676668367	0.0	0.0	0.0	0.002113732675244959
Tadh_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034231433973815986	0.0019419528493377625	0.012396291744843638	0.0	0.001991594556511985	0.000692925225044537	0.9723488330882223	0.0	0.0	0.0	0.0	0.0	0.0	0.029361033732320248	0.0003354535163252747	0.0	0.0	0.0	0.0	0.0003416515251074406	0.01070111356763538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15071494349882766	0.0	0.0	0.46046559636981144	0.008832743428675712	0.0	0.0015026333160898242	0.0	0.0
Tadh_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.040381532188756834	0.0	0.0	0.0010567445917151921	0.004938146180112541	0.0013832575768409727	0.9870974996414523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004673105401139608	0.0	0.0	0.0	0.0	0.0	0.0	0.2650654526770355	0.10342842538715369	0.08718581992812766	0.00469400331342154	0.0	0.0005640241444222663	0.0	0.0
Tadh_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032615703324981025	0.0	0.002093948439116591	0.0003843393367084166	0.0034090735929024722	0.0	0.9710277376863496	0.0	0.0	0.0	0.0	0.009510103945873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012249427656047683	0.0	0.0	0.002223612529492367	0.05649917728995315	0.0	0.0	0.0	0.0	0.0	0.0024914630461582523	0.0	0.006268220823517775	0.0	0.0
