	Hhon_epithelia_dorsal	Hhon_epithelia_gland_like	Hhon_epithelia_unknown	Hhon_epithelia_ventral	Hhon_fibre	Hhon_gland_1	Hhon_gland_1_like	Hhon_lipophil_1	Hhon_lipophil_2	Hhon_peptidergic_alpha	Hhon_peptidergic_beta	Hhon_peptidergic_delta	Hhon_peptidergic_epsilon	Hhon_peptidergic_epsilon_like	Hhon_peptidergic_eta	Hhon_peptidergic_gamma	Hhon_peptidergic_gamma_like	Hhon_peptidergic_iota	Hhon_peptidergic_iota_like	Hhon_peptidergic_kappa	Hhon_peptidergic_lambda	Hhon_peptidergic_mu	Hhon_peptidergic_mu_like	Hhon_peptidergic_omicron	Hhon_peptidergic_other_1	Hhon_peptidergic_other_2	Hhon_peptidergic_progenitors	Hhon_peptidergic_theta	Hhon_peptidergic_theta_like	Hhon_peptidergic_zeta	Hhon_trans_epithelia_dorsal_ventral	Hhon_trans_fibre_gland	Hhon_trans_gland_epithelia_dorsal	Hhon_trans_gland_epithelia_ventral	Hhon_trans_lipophil_1_epithelia	Hhon_trans_lipophil_1_gland	Hhon_trans_lipophil_2_epithelia	Hhon_unknown_1	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
Hhon_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981933338596558	0.04922096826574833	0.34182347979673194	0.0627159503594971	0.019973616690284288	0.0	0.0006135626137341334	0.00859020106723567	0.00536417173105898	0.0085653934747624	0.029637940685839442	0.05074639818533331	0.13031832949331804	0.006520454188405	0.0005956383117132226	0.0387960804565396	0.0	0.045505125638733004	0.01573773747324435	0.008968496917520047	0.0	0.009385231870376435	0.026550396972494478	0.02252034353338577	0.24300104742588946	0.0	0.19381922921688519	0.0	0.0	0.0007179524614375238	0.0	0.0	0.09922530216599833	0.0009092629022386768	0.018179725866038166
Hhon_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004708069427080532	0.9981489072463374	0.2517400824333982	0.9885316342696658	0.024061347706991983	0.0	0.5357778700412877	0.03710560257644026	0.0	0.016259039049690963	0.02160099281762172	0.0	0.006213450731318882	0.017649438060829005	0.0	0.0	0.0	0.0	0.0	0.0208669646739198	0.0	0.006319495472921345	0.0	0.0	0.0022560508175101046	0.0006536016405379401	0.04590945350272398	0.0411949310114386	0.018753054979635544	0.0015556798900515135	0.0013071795021667477	0.0	0.002381509450136044	0.005491516127048677	0.007431257797988413
Hhon_epithelia_unknown	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01634013535498805	0.12228939305890059	0.9884791743138794	0.4285911665714647	0.00047246252853295584	0.0	0.05183497303402997	0.0	0.0	0.0	0.009966052677904918	0.0	0.0	0.0	0.0	0.0	0.0	0.0052604355466100644	0.0	0.0	0.0	0.004666379864280803	0.0	0.009979696801416934	0.00047432692715065563	0.0	0.0	0.009342377483084974	0.0	0.0	0.0	0.0	0.0579453783196893	0.0	0.0
Hhon_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4187216285659514	0.8708247536642585	0.9881728399125602	0.9992198841269484	0.01804868589244072	0.0	0.18757026247376957	0.0	0.0010827767087017031	0.08793994045513098	0.12309788185252513	0.028616500040541237	0.0	0.01851869613061281	0.008215141787609693	0.02508930109629277	0.0	0.004958084582372851	0.03146894714118689	0.04596249963983004	0.0	0.16706523532508885	0.009968248879474497	0.0	0.02155482431977621	0.0016861734906436366	0.0030214414462708928	0.22250369303286685	0.08077985160935126	0.0007097806723034108	0.0010295857962261399	0.0	0.05781580488856157	0.0027908839633879476	0.0062756697431702434
Hhon_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010396910505836451	0.04108229293844522	0.021193059719840555	0.9997593774672883	0.9777124780012013	0.003740233887582265	0.0	0.010946690212962849	0.0	0.0	0.0	0.0	0.0	0.02567447324905302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009738140203335823	0.700741543255379	0.0	0.016716752260116895	0.0	0.4549496929226432	0.007485849718029608	0.0	0.018280963357669336	0.015160115408061494	0.00918348439498868
Hhon_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028660939732656453	0.9034352925860546	0.01381128514255664	0.05287323829537224	0.006065964712247375	0.0	0.9997301301044541	0.0	0.0001291083940241151	0.00881927793869135	0.008180321968077471	0.0070957016151156765	0.0	0.0003852926483436464	0.04651999052426475	0.0	0.0	0.0	0.0	0.004859149235094847	0.0	0.007571039827693494	0.0	0.0	0.0014395244333671937	0.0002911168684507911	0.3027229397419387	0.5786813223008472	0.0	0.0	0.5756368611723539	0.0	0.006740946604494004	0.036503638305281395	0.01617655974620801
Hhon_gland_1_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003061310408932186	0.0	0.0	0.7167013536801771	0.0	0.014458699184748841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041443198686728626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hhon_lipophil_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036851306039016214	0.008761339485865858	0.0	0.0	0.0	0.008016311861935237	0.9998496298572214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008206820726090754	0.03002788326637007	0.5490962787011071	0.08550870801675062	0.7905922412031385	0.45523620813969445	0.009473672181837572	0.003248341383573995	0.0
Hhon_lipophil_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9747573679082672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010524663526717657	0.0	0.0	0.0	0.0	0.0	0.0	0.12470384840983158	0.8744336534717523	0.3730957523629175	0.0
Hhon_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009435711381062388	0.008474383550999916	0.0	0.04293186684767619	0.0	0.0	0.015703505689616155	0.0	0.0	0.9992372676693929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025800366018473832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
