	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4	HoiH23_epithelia_dorsal	HoiH23_epithelia_gland_like	HoiH23_epithelia_unknown	HoiH23_epithelia_ventral	HoiH23_fibre_1	HoiH23_fibre_2	HoiH23_gland_1	HoiH23_lipophil_1	HoiH23_lipophil_2	HoiH23_peptidergic_alpha	HoiH23_peptidergic_beta	HoiH23_peptidergic_epsilon	HoiH23_peptidergic_eta	HoiH23_peptidergic_gamma	HoiH23_peptidergic_gamma_like	HoiH23_peptidergic_iota	HoiH23_peptidergic_kappa	HoiH23_peptidergic_lambda	HoiH23_peptidergic_mu	HoiH23_peptidergic_mu_like	HoiH23_peptidergic_nu	HoiH23_peptidergic_progenitors	HoiH23_peptidergic_theta	HoiH23_peptidergic_zeta	HoiH23_peptidergic_zeta_like	HoiH23_trans_fibre_gland	HoiH23_trans_gland_epithelia_dorsal	HoiH23_trans_gland_epithelia_ventral	HoiH23_trans_lipophil_1_epithelia	HoiH23_trans_lipophil_1_fibre	HoiH23_trans_lipophil_1_gland	HoiH23_trans_lipophil_1_lipophil_2	HoiH23_trans_lipophil_2_epithelia	HoiH23_trans_lipophil_2_gland	HoiH23_unknown_1
TrH2_epithelia_dorsal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8159030882886558	0.006354591858690447	0.07199215787071996	0.01686449931366272	0.005130318336641461	0.0002863310403206814	0.01297609185714362	0.0	0.000254000090785846	0.0	0.0036789437268450347	0.004053305316368439	0.0	0.006146983077663598	0.017014394463512286	0.0	0.0	0.002109723273182243	0.0033668197396435	0.0	0.0	0.0012115340744843883	0.0015892541275670997	0.008393281842769548	0.0348049200603015	0.001096924466936145	0.13064954864385084	0.0023580742570869567	0.0	0.0	0.00020137877905043725	0.0	0.012740098781812708	0.0002736346863885029	0.00013588843124984827
TrH2_epithelia_dorsal_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3203748811171003	0.002985319360447174	0.026749401796163603	0.0002321448471836307	0.015877587676069685	0.0	0.0030526021700308607	0.019820385924155214	0.9434306329763474	0.0	0.0014527236932219954	0.0	0.000379549622952829	0.006523368000131711	0.003491094717228619	0.0	0.0007988048083817992	0.008108643607646838	0.0004976597717781276	0.0	0.0	0.0	0.00017758054427172078	0.011450900495949731	0.008303696964226313	0.00029104569021597647	0.03872533777596158	0.0019964325670520514	0.0020511569399345275	0.010733961715825776	0.001030533262676474	0.1532026191521956	0.7860243780106856	0.381674948088445	0.0028306709148474244
TrH2_epithelia_gland_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005269975164777501	0.48418421659588573	0.19329872409231585	0.2512004276458582	0.0013484212541121155	0.0	0.029686912300672812	0.0	0.0	0.004097331978149655	0.0011021024026808862	0.0	0.0024049032407801657	0.0	0.0	0.0	0.0005903682808470553	0.0036104242779127814	0.0	0.001091400897298107	0.0	0.012510908432252119	0.0	0.0	0.0002617518901531203	0.0	0.03534339726694464	0.02841434678182477	0.008349480053002263	0.0	0.000753455364216678	0.0	0.0010241378683066781	0.0009004992215355159	0.0014948564941362488
TrH2_epithelia_unknown_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833100077445199	0.002092940444216192	0.0	0.0	0.0	0.0	0.0	0.0	0.04511833317260338	0.00808155159752267	0.0	0.0	0.0	0.0	0.0	0.0	0.020877629992148934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002373147373138929	0.0	0.0	0.0	0.0	0.003544908128840742	0.0	0.0
TrH2_epithelia_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008654544625712236	0.11570679558668524	0.5507888247703097	0.8506308591773966	0.0015474383712895602	0.03547199055300102	0.00916787254577452	0.0013501524133390052	0.0040122501679368625	0.0016106717372566803	0.0363912730976068	0.011356366764063094	0.0007091062554818394	0.00412269536163386	0.0010633141512248739	0.0005005364041005763	0.0	0.001010922213214041	0.0007381770026975685	0.0	0.0	0.13279969409098952	0.0	0.0008326983584760377	0.0024936856248659817	0.0036637058564701515	0.0018326976500339799	0.14952558926731738	0.04360542693696773	0.001978886399254056	0.00010975400228829975	0.0	0.041530477886551974	0.0014951816284022332	0.0003384962924507475
TrH2_fibre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016187892766237183	0.03216552184764697	0.0047385858191488755	0.0011339070436475584	0.984137824813609	0.631725207242657	0.0015234155235979636	0.005687911411171716	0.0035769502256950995	0.000688716780698697	0.004924986456840885	0.0	0.00012927791041875364	0.033561021898472584	0.3732111460583982	0.0	0.0	0.0	0.00854495656681974	0.0	0.0003802561143590488	2.6131691810579375e-05	0.004121456259938832	0.00027343704917112953	0.0050733008883834	0.8355553030008673	0.0	0.014142047789677217	0.0	0.3840503693097411	6.672429136567423e-05	0.0	0.0025058263573940077	0.0025078278967068704	0.005687279780760933
TrH2_gland_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001125018599199653	0.14210377793187526	0.0009654794214257344	0.0007373820203141646	0.001634156536559344	0.0279506409163075	0.9657144009498981	0.0012502343391020063	0.0002776329433455185	0.000462516928479273	0.001151698903105141	0.006420737644890394	0.000514240443562646	0.0025122808689666317	0.028596509411615158	0.0	0.0	0.0	0.0017721546415663425	0.0	0.0	0.00035708827536106114	0.0002884199711115339	0.0	0.00025694784765003197	0.005019965959777883	0.21983642210593474	0.4036129183238521	0.00024346631364662776	0.00023333579220654417	0.14707203971163968	0.0	0.0003209691338814086	0.03290957143780085	0.0002879556879322138
TrH2_lipophil	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1888047312581572e-05	0.0029094273098583803	0.0008039034398237685	0.00035509869677331676	3.0155340949765723e-05	0.00011184312745393921	0.0003687333837302792	0.984066975091145	0.001883300652502401	0.0	0.0	0.0	0.0	1.3364314023796271e-05	0.00032119985480812455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00726060754021315	0.017802108227220833	0.5692000210689929	0.0627647791816093	0.42760591000680204	0.5167896698950105	0.004240165904825418	0.010435075217281467	0.0003854197528522145
TrH2_peptidergic_alpha	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067597731082822965	0.0004495573983784834	0.0	0.002126557215265586	0.0	0.0	0.00019487440516633873	0.0	0.0	0.9482291514217174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01414111316451096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.139384775462807e-05	0.0	0.0	0.0	0.0
TrH2_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004132560154258293	0.0	0.004572217098417111	0.0	0.0004032258064516129	0.0	0.0	0.0	0.9719901282433009	0.0	0.0	0.01403582987351848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027931612785460176	0.0	0.0	0.006141197585280795	0.0	0.015382593279834253	0.0	0.0	0.0	0.03714660243647314	0.0
